Transaction_ID,Date,Book_Title,Author ,Quantity,Unit_Price,Customer_ID,Customer_Age,Customer_Gender
T1234-001,1/2/2023,Death Comes for the Archbishop,Willa Cather,1,$9.24 ,C001,18,Male
T1234-002,1/3/2023,The Adventures of Augie March,Saul Bellow,1,$15.25 ,C002,18,Female
T1234-003,1/4/2023,Deliverance,James Dickey,2,$20.00 ,C003,24,Male
T1234-004,1/5/2023,Ironweed,William Kennedy,1,$18.46 ,C004,32,Male
T1234-005,1/6/2023,The Great Gatsby,F. Scott Fitzgerald,1,$25.22 ,C005,28,Male
T1234-006,1/7/2023,Ragtime,E.L. Doctorow,3,$9.24 ,C006,31,Male
T1234-007,1/8/2023,Scoop,Evelyn Waugh,1,$17.82 ,C007,45,Female
T1234-008,1/9/2023,Appointment in Samarra,John Oâ€™Hara,1,$36.92 ,C008,45,Male
T1234-009,1/10/2023,A Handful of Dust,Evelyn Waugh,1,$18.46 ,C009,23,Female
T1234-010,1/11/2023,A Room With a View,E.M. Forster,1,$9.24 ,C010,23,Male
T1234-011,1/12/2023,An American Tragedy,Theodore Dreiser,1,$17.82 ,C011,22,Female
T1234-012,1/13/2023,The Sheltering Sky,Paul Bowles,1,$36.00 ,C012,19,Female
T1234-013,1/14/2023,Light in August,William Faulkner,1,$18.46 ,C013,40,Female
T1234-014,1/15/2023,Native Son,Richard Wright,1,$17.82 ,C014,20,Male
T1234-015,1/16/2023,The Naked and the Dead,Norman Mailer,1,$9.24 ,C015,29,Female
T1234-016,1/17/2023,The Age of Innocence,Edith Wharton,1,$9.24 ,C016,30,Female
T1234-017,1/18/2023,The House of Mirth,Edith Wharton,1,$15.25 ,C017,24,Female
T1234-018,1/19/2023,Parade's End (series),Ford Madox Ford,1,$20.00 ,C018,25,Female
T1234-019,1/20/2023,The Maltese Falcon,Dashiell Hammett,1,$18.46 ,C019,26,Female
T1234-020,1/21/2023,Brave New World,Aldous Huxley,5,$25.22 ,C020,46,Female
T1234-021,1/22/2023,Howards End,E.M. Forster,2,$9.24 ,C021,18,Female
T1234-022,1/23/2023,The Heart is a Lonely Hunter,Carson McCullers,1,$17.82 ,C022,12,Female
T1234-023,1/24/2023,A Clockwork Orange,Anthony Burgess,2,$36.92 ,C023,54,Female
T1234-024,1/25/2023,Go Tell It on the Mountain,James Baldwin,1,$18.46 ,C024,32,Male
T1234-025,1/26/2023,A Dance to the Music of Time (series),Anthony Powell,1,$9.24 ,C025,29,Male
T1234-026,1/27/2023,Catch-22,Joseph Heller,1,$17.82 ,C026,39,Female
T1234-027,1/28/2023,The Heart of the Matter,Graham Greene,1,$36.00 ,C027,44,Female
T1234-028,1/29/2023,Brideshead Revisited,Evelyn Waugh,1,$18.46 ,C028,43,Female
T1234-029,1/30/2023,Midnight's Children,Salman Rushdie,1,$17.82 ,C029,23,Male
T1234-030,1/31/2023,Slaughterhouse-Five,Kurt Vonnegut,1,$9.24 ,C030,23,Female
T1234-031,2/1/2023,Darkness at Noon,Arthur Koestler,1,$25.22 ,C031,28,Male
T1234-032,2/2/2023,The Magus,John Fowles,1,$9.24 ,C032,21,Female
T1234-033,2/3/2023,All the King's Men,Robert Penn Warren,1,$17.82 ,C033,20,Male
T1234-034,2/4/2023,From Here to Eternity,James Jones,1,$36.92 ,C034,19,Female
T1234-035,2/5/2023,The Grapes of Wrath,John Steinbeck,1,$18.46 ,C035,30,Female
T1234-036,2/6/2023,U.S.A. (trilogy),John Dos Passos,3,$9.24 ,C036,24,Female
T1234-037,2/7/2023,Of Human Bondage,W. Somerset Maugham,3,$17.82 ,C037,25,Male
T1234-038,2/8/2023,1984,George Orwell,1,$9.24 ,C038,26,Female
T1234-039,2/9/2023,The Alexandria Quartet (series),Lawrence Durell,1,$17.82 ,C039,46,Female
T1234-040,2/10/2023,Sophie's Choice,William Styron,1,$36.00 ,C040,18,Female
T1234-041,2/11/2023,Pale FIre,Vladimir Nabokov,2,$18.46 ,C041,12,Male
T1234-042,2/12/2023,Angle of Repose,Wallace Stegner,1,$17.82 ,C042,54,Female
T1234-043,2/13/2023,"I, Claudius",Robert Graves,1,$9.24 ,C043,32,Female
T1234-044,2/14/2023,Heart of Darkness,Joseph Conrad,1,$25.22 ,C044,29,Female
T1234-045,2/15/2023,Wide Sargasso Sea,Jean Rhys,1,$9.24 ,C045,39,Female
T1234-046,2/16/2023,Loving,Henry Green,1,$9.24 ,C046,44,Female
T1234-047,2/17/2023,The Secret Agent,Joseph Conrad,1,$17.82 ,C047,43,Female
T1234-048,2/18/2023,Zuleika Dobson,Max Beerbohm,1,$36.92 ,C048,23,Female
T1234-049,2/19/2023,A Portait of the Artist as a Young Man,James Joyce,1,$18.46 ,C049,23,Female
T1234-050,2/20/2023,Sons and Lovers,D.H. Lawrence,1,$9.24 ,C050,27,Female
T1234-051,2/21/2023,Lord Jim,Joseph Conrad,1,$17.82 ,C051,18,Male
T1234-052,2/22/2023,The Way of All Flesh,Samuel Butler,1,$9.24 ,C052,16,Male
T1234-053,2/23/2023,Lord of the Flies,William Golding,1,$17.82 ,C053,34,Female
T1234-054,2/24/2023,A Passage to India,E.M. Forster,1,$36.00 ,C054,44,Female
T1234-055,2/25/2023,The Sound and the Fury,William Faulkner,10,$18.46 ,C055,43,Female
T1234-056,2/26/2023,The Rainbow,D.H. Lawrence,2,$17.82 ,C056,23,Male
T1234-057,2/27/2023,The Ambassadors,Henry James,2,$9.24 ,C057,23,Female
T1234-058,2/28/2023,Women In Love,D.H. Lawrence,2,$25.22 ,C058,27,Male
T1234-059,3/1/2023,Finnegans Wake,James Joyce,4,$9.24 ,C059,18,Female
T1234-060,3/2/2023,On the Road,Jack Kerouac,1,$9.24 ,C060,16,Female
T1234-061,3/3/2023,The Ginger Man,J.P. Donleavy,1,$17.82 ,C061,34,Female
T1234-062,3/4/2023,Portnoy's Complaint,Philip Roth,1,$36.92 ,C062,18,Male
T1234-063,3/5/2023,Lolita,Vladimir Nabokov,1,$18.46 ,C063,24,Female
T1234-064,3/6/2023,The Death of the Heart,Elizabeth Bowen,1,$9.24 ,C064,32,Male
T1234-065,3/7/2023,Sister Carrie,Theodore Dreiser,1,$17.82 ,C065,28,Female
T1234-066,3/8/2023,The Moviegoer,Walker Percy,1,$9.24 ,C066,31,Male
T1234-067,3/9/2023,Tropic of Cancer,Henry Miller,1,$17.82 ,C067,45,Female
T1234-068,3/10/2023,Kim,Rudyard Kipling,1,$36.00 ,C068,45,Female
T1234-069,3/11/2023,As I Lay Dying,William Faulkner,1,$18.46 ,C069,23,Female
T1234-070,3/12/2023,Ulysses,James Joyce,1,$17.82 ,C070,23,Male
T1234-071,3/13/2023,Tobacco Road,Erskine Caldwell,1,$9.24 ,C071,22,Female
T1234-072,3/14/2023,The Good Soldier,Ford Madox Ford,1,$25.22 ,C072,19,Female
T1234-073,3/15/2023,The Magnificent Ambersons,Booth Tarkington,1,$9.24 ,C073,40,Female
T1234-074,3/16/2023,Main Street,Sinclair Lewis,6,$18.46 ,C074,20,Male
T1234-075,3/17/2023,Under the Net,Iris Murdoch,5,$17.82 ,C075,37,Female
T1234-076,3/18/2023,To the Lighthouse,Virginia Woolf,3,$9.24 ,C076,33,Female
T1234-077,3/19/2023,The Prime of Miss Jean Brodie,Muriel Spark,1,$25.22 ,C077,46,Female
T1234-078,3/20/2023,The Wapshot Chronicle,John Cheever,1,$9.24 ,C078,17,Female
T1234-079,3/21/2023,The Catcher in the Rye,J.D. Salinger,1,$9.24 ,C079,21,Female
T1234-080,3/22/2023,A Farewell to Arms,Ernest Hemingway,2,$17.82 ,C080,20,Female
T1234-081,3/23/2023,A Bend in the River,V.S. Naipaul,9,$36.92 ,C081,19,Female
T1234-082,3/24/2023,The Bridge of San Luis Rey,Thornton Wilder,1,$18.46 ,C082,30,Male
T1234-083,3/25/2023,A High Wind in Jamaica,Richard Hughes,1,$9.24 ,C083,24,Male
T1234-084,3/26/2023,The Call of the Wild,Jack London,1,$17.82 ,C084,25,Female
T1234-085,3/27/2023,The Golden Bowl,Henry James,1,$9.24 ,C085,26,Male
T1234-086,3/28/2023,Henderson the Rain King,Saul Bellow,1,$17.82 ,C086,46,Female
T1234-087,3/29/2023,Nostromo,Joseph Conrad,1,$12.99 ,C087,18,Male
T1234-088,3/30/2023,The Old Wives' Tale,Arnold Bennett,1,$1.99 ,C088,12,Male
T1234-089,3/31/2023,The Day of the Locust,Nathanael West,1,$0.99 ,C089,54,Female
T1234-090,4/1/2023,A House for Mr. Biswas,V.S. Naipaul,1,$19.00 ,C090,32,Female
T1234-091,4/2/2023,Under the Volcano,Malcolm Lowry,1,$6.99 ,C091,29,Male