Campaign Name,Day,Status,Nivel de la entrega,Campaign Name,Configuration,Campaign Type,Results,Reach,Impressions,Cost per Result,Total amount Spent (MXN),Begining of report,End of report
Traffic | Inquilino | Santa Fe,2021-10-04,active,campaign,Traffic | Inquilino | Santa Fe,7 days after clicking,Clicks on link,423,4113,4402.00,0.47,198.44,4/10,4/10
Traffic | Inquilino | Pte Morena,2021-10-03,active,campaign,Traffic | Inquilino | Pte Morena,7 days after clicking,Clicks on link,608,5235,5830.00,0.33,200.9,3/10,3/10
Lead generation | Propietarios | CDMX,2021-10-03,pending_review,campaign,Lead generation | Propietarios | CDMX,7 days after clicking,Potential Facebook Clients,10,8802,9788.00,102.23,1022.27,3/10,3/10
Traffic | Inquilino | Lomas de Chapultepec,2021-10-03,active,campaign,Traffic | Inquilino | Lomas de Chapultepec,7 days after clicking,Clicks on link,766,11934,12740.00,0.27,204.86,3/10,3/10
Traffic | Inquilino | Santa Fe,2021-10-03,active,campaign,Traffic | Inquilino | Santa Fe,7 days after clicking,Clicks on link,476,4294,5152.00,0.42,200.66,3/10,3/10
Traffic | Inquilino | Coyoacan,2021-10-03,active,campaign,Traffic | Inquilino | Coyoacan,7 days after clicking,Clicks on link,479,11481,12081.00,0.43,205.12,3/10,3/10
Traffic | Inquilino | Nonoalco,2021-10-03,active,campaign,Traffic | Inquilino | Nonoalco,7 days after clicking,Clicks on link,803,5841,6860.00,0.25,201.81,3/10,3/10
Traffic | Inquilino | Niños Heroes,2021-10-03,active,campaign,Traffic | Inquilino | Niños Heroes,7 days after clicking,Clicks on link,302,10791,11987.00,0.67,202.73,3/10,3/10
Lead generation | Propietarios | CDMX,2021-10-02,pending_review,campaign,Lead generation | Propietarios | CDMX,7 days after clicking,Potential Facebook Clients,11,8415,9349.00,90.20,992.21,2/10,2/10
Traffic | Inquilino | Pte Morena,2021-10-02,active,campaign,Traffic | Inquilino | Pte Morena,7 days after clicking,Clicks on link,630,5788,6253.00,0.37,230.65,2/10,2/10
Traffic | Inquilino | Santa Fe,2021-10-02,active,campaign,Traffic | Inquilino | Santa Fe,7 days after clicking,Clicks on link,532,4742,5522.00,0.43,230.3,2/10,2/10
Traffic | Inquilino | Coyoacan,2021-10-02,active,campaign,Traffic | Inquilino | Coyoacan,7 days after clicking,Clicks on link,420,10895,11788.00,0.53,222.09,2/10,2/10
Traffic | Inquilino | Nonoalco,2021-10-02,active,campaign,Traffic | Inquilino | Nonoalco,7 days after clicking,Clicks on link,821,6045,7187.00,0.28,226.47,2/10,2/10
Traffic | Inquilino | Lomas de Chapultepec,2021-10-02,active,campaign,Traffic | Inquilino | Lomas de Chapultepec,7 days after clicking,Clicks on link,750,12290,12718.00,0.30,228.58,2/10,2/10
Traffic | Inquilino | Niños Heroes,2021-10-02,active,campaign,Traffic | Inquilino | Niños Heroes,7 days after clicking,Clicks on link,284,10960,11984.00,0.78,220.93,2/10,2/10
Traffic | Inquilino | Niños Heroes,2021-10-01,active,campaign,Traffic | Inquilino | Niños Heroes,7 days after clicking,Clicks on link,308,11467,12511.00,0.76,232.59,1/10,1/10
Traffic | Inquilino | Pte Morena,2021-10-01,active,campaign,Traffic | Inquilino | Pte Morena,7 days after clicking,Clicks on link,680,5919,6420.00,0.34,230.54,1/10,1/10
Traffic | Inquilino | Coyoacan,2021-10-01,active,campaign,Traffic | Inquilino | Coyoacan,7 days after clicking,Clicks on link,451,11756,12145.00,0.52,232.71,1/10,1/10
Lead generation | Propietarios | CDMX,2021-10-01,pending_review,campaign,Lead generation | Propietarios | CDMX,7 days after clicking,Potential Facebook Clients,9,8467,9237.00,106.88,961.93,1/10,1/10
Traffic | Inquilino | Lomas de Chapultepec,2021-10-01,active,campaign,Traffic | Inquilino | Lomas de Chapultepec,7 days after clicking,Clicks on link,776,12232,12841.00,0.30,234.21,1/10,1/10
Traffic | Inquilino | Santa Fe,2021-10-01,active,campaign,Traffic | Inquilino | Santa Fe,7 days after clicking,Clicks on link,559,4788,5565.00,0.41,230.96,1/10,1/10
Traffic | Inquilino | Nonoalco,2021-10-01,active,campaign,Traffic | Inquilino | Nonoalco,7 days after clicking,Clicks on link,874,6631,7592.00,0.26,229.85,1/10,1/10
Traffic | Inquilino | Coyoacan,2021-09-30,active,campaign,Traffic | Inquilino | Coyoacan,7 days after clicking,Clicks on link,406,8789,9033.00,0.58,234.04,30/9,30/9
Traffic | Inquilino | Lomas de Chapultepec,2021-09-30,active,campaign,Traffic | Inquilino | Lomas de Chapultepec,7 days after clicking,Clicks on link,655,9195,9777.00,0.36,233.95,30/9,30/9
Traffic | Inquilino | Niños Heroes,2021-09-30,active,campaign,Traffic | Inquilino | Niños Heroes,7 days after clicking,Clicks on link,263,9216,10541.00,0.89,234.72,30/9,30/9
Traffic | Inquilino | Nonoalco,2021-09-30,active,campaign,Traffic | Inquilino | Nonoalco,7 days after clicking,Clicks on link,654,4901,5638.00,0.35,231.88,30/9,30/9
Traffic | Inquilino | Pte Morena,2021-09-30,active,campaign,Traffic | Inquilino | Pte Morena,7 days after clicking,Clicks on link,497,3679,4061.00,0.47,231.67,30/9,30/9
Lead generation | Propietarios | CDMX,2021-09-30,pending_review,campaign,Lead generation | Propietarios | CDMX,7 days after clicking,Potential Facebook Clients,12,6651,7485.00,79.25,951.03,30/9,30/9
Traffic | Inquilino | Santa Fe,2021-09-30,active,campaign,Traffic | Inquilino | Santa Fe,7 days after clicking,Clicks on link,338,3540,4220.00,0.68,231.48,30/9,30/9
Traffic | Inquilino | Pte Morena,2021-09-29,active,campaign,Traffic | Inquilino | Pte Morena,7 days after clicking,Clicks on link,564,3781,4245.00,0.41,231.5,29/9,29/9
Traffic | Inquilino | Coyoacan,2021-09-29,active,campaign,Traffic | Inquilino | Coyoacan,7 days after clicking,Clicks on link,405,9052,9312.00,0.58,234.96,29/9,29/9
Traffic | Inquilino | Nonoalco,2021-09-29,active,campaign,Traffic | Inquilino | Nonoalco,7 days after clicking,Clicks on link,649,5014,5767.00,0.36,231.78,29/9,29/9
Traffic | Inquilino | Santa Fe,2021-09-29,active,campaign,Traffic | Inquilino | Santa Fe,7 days after clicking,Clicks on link,649,5858,6334.00,0.35,228.84,29/9,29/9
Traffic | Inquilino | Lomas de Chapultepec,2021-09-29,active,campaign,Traffic | Inquilino | Lomas de Chapultepec,7 days after clicking,Clicks on link,653,9300,9785.00,0.36,232.88,29/9,29/9
Traffic | Inquilino | Niños Heroes,2021-09-29,active,campaign,Traffic | Inquilino | Niños Heroes,7 days after clicking,Clicks on link,250,9700,11058.00,0.93,233.71,29/9,29/9
Lead generation | Propietarios | CDMX,2021-09-29,pending_review,campaign,Lead generation | Propietarios | CDMX,7 days after clicking,Potential Facebook Clients,13,6565,7487.00,75.65,983.43,29/9,29/9
Reconocimiento Propietarios,2021-09-28,inactive,campaign,Reconocimiento Propietarios,7 days after clicking,AD Recall,300,2263,2291.00,0.08,22.71,28/9,28/9
Traffic | Inquilino | Niños Heroes,2021-09-28,active,campaign,Traffic | Inquilino | Niños Heroes,7 days after clicking,Clicks on link,290,10586,12113.00,0.80,231.8,28/9,28/9
Traffic | Inquilino | Nonoalco,2021-09-28,active,campaign,Traffic | Inquilino | Nonoalco,7 days after clicking,Clicks on link,636,4134,4898.00,0.36,231.79,28/9,28/9
Lead generation | Propietarios | CDMX,2021-09-28,pending_review,campaign,Lead generation | Propietarios | CDMX,7 days after clicking,Potential Facebook Clients,5,5135,6063.00,180.44,902.18,28/9,28/9
Traffic | Inquilino | Pte Morena,2021-09-28,active,campaign,Traffic | Inquilino | Pte Morena,7 days after clicking,Clicks on link,546,4458,4955.00,0.42,230.75,28/9,28/9
Traffic | Inquilino | Coyoacan,2021-09-28,active,campaign,Traffic | Inquilino | Coyoacan,7 days after clicking,Clicks on link,405,8562,9034.00,0.57,232.2,28/9,28/9
Traffic | Inquilino | Santa Fe,2021-09-28,active,campaign,Traffic | Inquilino | Santa Fe,7 days after clicking,Clicks on link,923,6184,6925.00,0.25,231.39,28/9,28/9
Traffic | Inquilino | Lomas de Chapultepec,2021-09-28,active,campaign,Traffic | Inquilino | Lomas de Chapultepec,7 days after clicking,Clicks on link,739,8951,9478.00,0.32,234.09,28/9,28/9
Traffic | Inquilino | Niños Heroes,2021-09-27,active,campaign,Traffic | Inquilino | Niños Heroes,7 days after clicking,Clicks on link,299,8740,9383.00,0.79,236.29,27/9,27/9
Traffic | Inquilino | Pte Morena,2021-09-27,active,campaign,Traffic | Inquilino | Pte Morena,7 days after clicking,Clicks on link,394,4432,4710.00,0.59,231.64,27/9,27/9
Lead generation | Propietarios | CDMX,2021-09-27,pending_review,campaign,Lead generation | Propietarios | CDMX,7 days after clicking,Potential Facebook Clients,4,5732,6332.00,203.77,815.08,27/9,27/9
Reconocimiento Propietarios,2021-09-27,inactive,campaign,Reconocimiento Propietarios,7 days after clicking,AD Recall,1180,10046,10793.00,0.10,115.81,27/9,27/9
Traffic | Inquilino | Santa Fe,2021-09-27,active,campaign,Traffic | Inquilino | Santa Fe,7 days after clicking,Clicks on link,668,5186,5547.00,0.35,232.54,27/9,27/9
Traffic | Inquilino | Coyoacan,2021-09-27,active,campaign,Traffic | Inquilino | Coyoacan,7 days after clicking,Clicks on link,382,8430,8495.00,0.62,235.34,27/9,27/9
Traffic | Inquilino | Lomas de Chapultepec,2021-09-27,active,campaign,Traffic | Inquilino | Lomas de Chapultepec,7 days after clicking,Clicks on link,569,8307,8565.00,0.41,234.37,27/9,27/9
Traffic | Inquilino | Nonoalco,2021-09-27,active,campaign,Traffic | Inquilino | Nonoalco,7 days after clicking,Clicks on link,452,4742,5062.00,0.51,232.1,27/9,27/9
Traffic | Inquilino | Lomas de Chapultepec,2021-09-26,active,campaign,Traffic | Inquilino | Lomas de Chapultepec,7 days after clicking,Clicks on link,8,95,95.00,0.23,1.87,26/9,26/9
Traffic | Inquilino | Santa Fe,2021-09-26,active,campaign,Traffic | Inquilino | Santa Fe,7 days after clicking,Clicks on link,55,350,350.00,0.26,14.03,26/9,26/9
Traffic | Inquilino | Nonoalco,2021-09-26,active,campaign,Traffic | Inquilino | Nonoalco,7 days after clicking,Clicks on link,53,347,348.00,0.30,16.13,26/9,26/9
Lead generation | Propietarios | CDMX,2021-09-26,pending_review,campaign,Lead generation | Propietarios | CDMX,7 days after clicking,Potential Facebook Clients,,183,184.00,,19.64,26/9,26/9
Traffic | Inquilino | Coyoacan,2021-09-26,active,campaign,Traffic | Inquilino | Coyoacan,7 days after clicking,Clicks on link,20,397,397.00,0.43,8.66,26/9,26/9
Reconocimiento Propietarios,2021-09-26,inactive,campaign,Reconocimiento Propietarios,7 days after clicking,AD Recall,40,383,384.00,0.11,4.25,26/9,26/9
Traffic | Inquilino | Niños Heroes,2021-09-26,active,campaign,Traffic | Inquilino | Niños Heroes,7 days after clicking,Clicks on link,12,444,467.00,0.83,9.96,26/9,26/9
Traffic | Inquilino | Pte Morena,2021-09-26,active,campaign,Traffic | Inquilino | Pte Morena,7 days after clicking,Clicks on link,3,34,34.00,0.55,1.64,26/9,26/9
Traffic | Inquilino | Niños Heroes,2021-09-25,active,campaign,Traffic | Inquilino | Niños Heroes,7 days after clicking,Clicks on link,266,8336,9602.00,0.75,199.05,25/9,25/9
Traffic | Inquilino | Lomas de Chapultepec,2021-09-25,active,campaign,Traffic | Inquilino | Lomas de Chapultepec,7 days after clicking,Clicks on link,370,4398,4642.00,0.27,100.96,25/9,25/9
Traffic | Inquilino | Pte Morena,2021-09-25,active,campaign,Traffic | Inquilino | Pte Morena,7 days after clicking,Clicks on link,254,1668,1812.00,0.41,104.16,25/9,25/9
Traffic | Inquilino | Coyoacan,2021-09-25,active,campaign,Traffic | Inquilino | Coyoacan,7 days after clicking,Clicks on link,332,8252,8530.00,0.58,194.21,25/9,25/9
Traffic | Inquilino | Santa Fe,2021-09-25,active,campaign,Traffic | Inquilino | Santa Fe,7 days after clicking,Clicks on link,737,3884,4383.00,0.27,196.78,25/9,25/9
Traffic | Inquilino | Nonoalco,2021-09-25,active,campaign,Traffic | Inquilino | Nonoalco,7 days after clicking,Clicks on link,302,2819,3055.00,0.37,111.05,25/9,25/9
Lead generation | Propietarios | CDMX,2021-09-25,pending_review,campaign,Lead generation | Propietarios | CDMX,7 days after clicking,Potential Facebook Clients,7,5704,6619.00,105.45,738.16,25/9,25/9
Reconocimiento Propietarios,2021-09-25,inactive,campaign,Reconocimiento Propietarios,7 days after clicking,AD Recall,870,8595,9051.00,0.12,106.06,25/9,25/9
Lead generation | Propietarios | CDMX,2021-09-24,pending_review,campaign,Lead generation | Propietarios | CDMX,7 days after clicking,Potential Facebook Clients,3,4661,5536.00,228.43,685.3,24/9,24/9
Traffic | Inquilino | Niños Heroes,2021-09-24,active,campaign,Traffic | Inquilino | Niños Heroes,7 days after clicking,Clicks on link,286,8427,9762.00,0.73,210.14,24/9,24/9
Reconocimiento Propietarios,2021-09-24,inactive,campaign,Reconocimiento Propietarios,7 days after clicking,AD Recall,770,8428,8867.00,0.13,101.37,24/9,24/9
Traffic | Inquilino | Santa Fe,2021-09-24,active,campaign,Traffic | Inquilino | Santa Fe,7 days after clicking,Clicks on link,432,6315,6854.00,0.47,201.17,24/9,24/9
Traffic | Inquilino | Coyoacan,2021-09-24,active,campaign,Traffic | Inquilino | Coyoacan,7 days after clicking,Clicks on link,335,8126,8526.00,0.61,204,24/9,24/9
Traffic | Inquilino | Niños Heroes,2021-09-23,active,campaign,Traffic | Inquilino | Niños Heroes,7 days after clicking,Clicks on link,295,8461,9877.00,0.67,198.49,23/9,23/9
Reconocimiento Propietarios,2021-09-23,inactive,campaign,Reconocimiento Propietarios,7 days after clicking,AD Recall,870,9486,10174.00,0.11,98.26,23/9,23/9
Lead generation | Propietarios | CDMX,2021-09-23,pending_review,campaign,Lead generation | Propietarios | CDMX,7 days after clicking,Potential Facebook Clients,4,4556,4954.00,169.82,679.27,23/9,23/9
Traffic | Inquilino | Santa Fe,2021-09-23,active,campaign,Traffic | Inquilino | Santa Fe,7 days after clicking,Clicks on link,414,6014,6733.00,0.49,201.67,23/9,23/9
Traffic | Inquilino | Coyoacan,2021-09-23,active,campaign,Traffic | Inquilino | Coyoacan,7 days after clicking,Clicks on link,360,8301,8679.00,0.56,200.57,23/9,23/9
Lead generation | Propietarios | CDMX,2021-09-22,pending_review,campaign,Lead generation | Propietarios | CDMX,7 days after clicking,Potential Facebook Clients,5,4968,5723.00,136.55,682.75,22/9,22/9
Traffic | Inquilino | Coyoacan,2021-09-22,active,campaign,Traffic | Inquilino | Coyoacan,7 days after clicking,Clicks on link,561,14499,14997.00,0.67,374.68,22/9,22/9
Reconocimiento Propietarios,2021-09-22,inactive,campaign,Reconocimiento Propietarios,7 days after clicking,AD Recall,840,9462,9823.00,0.11,93.98,22/9,22/9
Traffic | Inquilino | Santa Fe,2021-09-22,active,campaign,Traffic | Inquilino | Santa Fe,7 days after clicking,Clicks on link,5,652,658.00,3.80,18.98,22/9,22/9
Traffic | Inquilino | Niños Heroes,2021-09-22,active,campaign,Traffic | Inquilino | Niños Heroes,7 days after clicking,Clicks on link,431,13161,14935.00,0.80,344.61,22/9,22/9
Lead generation | Propietarios | CDMX,2021-09-21,pending_review,campaign,Lead generation | Propietarios | CDMX,7 days after clicking,Potential Facebook Clients,8,6067,7116.00,76.81,614.48,21/9,21/9
Traffic | Inquilino | Niños Heroes,2021-09-21,active,campaign,Traffic | Inquilino | Niños Heroes,7 days after clicking,Clicks on link,676,21999,25327.00,0.80,542.15,21/9,21/9
Reconocimiento Propietarios,2021-09-21,inactive,campaign,Reconocimiento Propietarios,7 days after clicking,AD Recall,2010,22439,24512.00,0.12,236.53,21/9,21/9
Traffic | Inquilino | Coyoacan,2021-09-21,active,campaign,Traffic | Inquilino | Coyoacan,7 days after clicking,Clicks on link,869,23472,24604.00,0.62,538.76,21/9,21/9
Lead generation | Propietarios | CDMX,2021-09-20,pending_review,campaign,Lead generation | Propietarios | CDMX,7 days after clicking,Potential Facebook Clients,8,5272,6060.00,80.03,640.24,20/9,20/9
Traffic | Inquilino | Coyoacan,2021-09-20,active,campaign,Traffic | Inquilino | Coyoacan,7 days after clicking,Clicks on link,867,24944,26362.00,0.61,526.08,20/9,20/9
Traffic | Inquilino | Niños Heroes,2021-09-20,active,campaign,Traffic | Inquilino | Niños Heroes,7 days after clicking,Clicks on link,749,20527,22677.00,0.69,519.29,20/9,20/9
Reconocimiento Propietarios,2021-09-20,inactive,campaign,Reconocimiento Propietarios,7 days after clicking,AD Recall,2270,25384,27719.00,0.11,260.62,20/9,20/9
Traffic | Inquilino | Coyoacan,2021-09-19,active,campaign,Traffic | Inquilino | Coyoacan,7 days after clicking,Clicks on link,388,15204,15305.00,0.68,262.1,19/9,19/9
Lead generation | Propietarios | CDMX,2021-09-19,pending_review,campaign,Lead generation | Propietarios | CDMX,7 days after clicking,Potential Facebook Clients,3,2799,3081.00,93.68,281.04,19/9,19/9
Reconocimiento Propietarios,2021-09-19,inactive,campaign,Reconocimiento Propietarios,7 days after clicking,AD Recall,1310,14200,15220.00,0.10,124.51,19/9,19/9
Traffic | Inquilino | Niños Heroes,2021-09-19,active,campaign,Traffic | Inquilino | Niños Heroes,7 days after clicking,Clicks on link,371,12440,13686.00,0.72,267.37,19/9,19/9
Reconocimiento Propietarios,2021-09-18,inactive,campaign,Reconocimiento Propietarios,7 days after clicking,AD Recall,2720,28840,32405.00,0.11,289.29,18/9,18/9
Traffic | Inquilino | Coyoacan,2021-09-18,active,campaign,Traffic | Inquilino | Coyoacan,7 days after clicking,Clicks on link,867,30255,32115.00,0.67,583.2,18/9,18/9
Traffic | Inquilino | Niños Heroes,2021-09-18,active,campaign,Traffic | Inquilino | Niños Heroes,7 days after clicking,Clicks on link,728,25719,29268.00,0.81,586.17,18/9,18/9
Lead generation | Propietarios | CDMX,2021-09-18,pending_review,campaign,Lead generation | Propietarios | CDMX,7 days after clicking,Potential Facebook Clients,3,6776,8015.00,201.14,603.41,18/9,18/9
Whastapp | Propietarios | CDMX,2021-09-17,inactive,campaign,Whastapp | Propietarios | CDMX,7 days after clicking,Started conversations,7,1089,1220.00,15.60,109.2,17/9,17/9
Reconocimiento Propietarios,2021-09-17,inactive,campaign,Reconocimiento Propietarios,7 days after clicking,AD Recall,2550,30512,33426.00,0.11,290.41,17/9,17/9
Traffic | Inquilino | Niños Heroes,2021-09-17,active,campaign,Traffic | Inquilino | Niños Heroes,7 days after clicking,Clicks on link,663,27296,29543.00,0.89,592.39,17/9,17/9
Messenger | Propietarios | CDMX,2021-09-17,inactive,campaign,Messenger | Propietarios | CDMX,7 days after clicking,Started conversations,1,0,0.00,0.00,0,17/9,17/9
Videos Propietarios,2021-09-17,inactive,campaign,Videos Propietarios,7 days after clicking,ThruPlay,303,392,395.00,0.06,18.06,17/9,17/9
Traffic | Inquilino | Coyoacan,2021-09-17,active,campaign,Traffic | Inquilino | Coyoacan,7 days after clicking,Clicks on link,957,25519,27092.00,0.62,589.02,17/9,17/9
Lead generation | Propietarios | CDMX,2021-09-17,pending_review,campaign,Lead generation | Propietarios | CDMX,7 days after clicking,Potential Facebook Clients,9,6470,7151.00,64.57,581.13,17/9,17/9
Videos Propietarios,2021-09-16,inactive,campaign,Videos Propietarios,7 days after clicking,ThruPlay,3820,5004,5152.00,0.06,230.43,16/9,16/9
Traffic | Inquilino | Coyoacan,2021-09-16,active,campaign,Traffic | Inquilino | Coyoacan,7 days after clicking,Clicks on link,957,28389,29492.00,0.60,577.82,16/9,16/9
Traffic | Inquilino | Niños Heroes,2021-09-16,active,campaign,Traffic | Inquilino | Niños Heroes,7 days after clicking,Clicks on link,764,25520,27503.00,0.76,582.16,16/9,16/9
Lead generation | Propietarios | CDMX,2021-09-16,pending_review,campaign,Lead generation | Propietarios | CDMX,7 days after clicking,Potential Facebook Clients,8,5956,7007.00,65.24,521.95,16/9,16/9
Reconocimiento Propietarios,2021-09-16,inactive,campaign,Reconocimiento Propietarios,7 days after clicking,AD Recall,3490,35929,40199.00,0.08,283.04,16/9,16/9
Whastapp | Propietarios | CDMX,2021-09-16,inactive,campaign,Whastapp | Propietarios | CDMX,7 days after clicking,Started conversations,,2204,2377.00,,256.91,16/9,16/9
Videos Propietarios,2021-09-15,inactive,campaign,Videos Propietarios,7 days after clicking,ThruPlay,3443,4335,4386.00,0.07,225.46,15/9,15/9
Whastapp | Propietarios | CDMX,2021-09-15,inactive,campaign,Whastapp | Propietarios | CDMX,7 days after clicking,Started conversations,6,3041,3524.00,47.58,285.5,15/9,15/9
Traffic | Inquilino | Coyoacan,2021-09-15,active,campaign,Traffic | Inquilino | Coyoacan,7 days after clicking,Clicks on link,739,25671,27447.00,0.79,585.82,15/9,15/9
Traffic | Inquilino | Niños Heroes,2021-09-15,active,campaign,Traffic | Inquilino | Niños Heroes,7 days after clicking,Clicks on link,578,23057,25587.00,1.01,586.22,15/9,15/9
Lead generation | Propietarios | CDMX,2021-09-15,pending_review,campaign,Lead generation | Propietarios | CDMX,7 days after clicking,Potential Facebook Clients,5,4145,4592.00,79.42,397.12,15/9,15/9
Reconocimiento Propietarios,2021-09-15,inactive,campaign,Reconocimiento Propietarios,7 days after clicking,AD Recall,3020,33071,36489.00,0.10,290.27,15/9,15/9