Service ID,Service Type,Average Service Time (Hours),Service Price (USD),Customer Rating (1-5),Business Type,Seasonal Demand,Frequency of Service (Times per Year),Equipment Used,Eco-Friendliness (Scale 1-5)
001,Solar Panel Cleaning,2.9,86.66,4.2,Commercial,Low,4,Automated Cleaner,2.9
002,Window Cleaning,1.4,128.08,3,Residential,Low,1,Automated Cleaner,4.3
003,Window Cleaning,3.8,100.43,3.6,Commercial,High,6,Automated Cleaner,4.8
004,Solar Panel Cleaning,2.6,130.34,4.3,Residential,Medium,6,Manual Tools,3
005,Window Cleaning,2.2,100.18,3.6,Residential,Medium,6,Automated Cleaner,4.9
006,Window Cleaning,1.8,134.06,4.2,Residential,Medium,1,Water-fed Pole,2
007,Window Cleaning,3.3,150.42,3.9,Residential,Low,1,Manual Tools,3.6
008,Window Cleaning,2.4,90.91,3.3,Commercial,Medium,6,Robotic Cleaner,2.9
009,Window Cleaning,2.7,197.72,3.6,Commercial,Medium,4,Manual Tools,4.6
010,Window Cleaning,1.1,176.32,4.1,Commercial,Medium,5,Squeegee,2.8
011,Window Cleaning,2.9,125.12,4.2,Residential,Low,5,Robotic Cleaner,4
012,Solar Panel Cleaning,2.8,168.95,4.1,Commercial,High,6,Automated Cleaner,4.4
013,Solar Panel Cleaning,2.9,95.97,4.3,Residential,Medium,3,Automated Cleaner,3.3
014,Window Cleaning,3.8,177.91,4.3,Commercial,High,3,Squeegee,4.3
015,Solar Panel Cleaning,3,237.98,3.9,Residential,Medium,5,Automated Cleaner,4.5
016,Solar Panel Cleaning,2.1,134.16,4.8,Residential,Medium,2,Robotic Cleaner,3.1
017,Solar Panel Cleaning,2.3,193.46,3.7,Residential,Low,4,Robotic Cleaner,2.3
018,Solar Panel Cleaning,3.1,102.41,3.9,Residential,High,4,Robotic Cleaner,2.8
019,Solar Panel Cleaning,1.2,201.78,4.8,Commercial,Low,4,Manual Tools,3.8
020,Window Cleaning,3,129.2,4.6,Commercial,High,2,Manual Tools,3.4
021,Solar Panel Cleaning,3,111.14,4.4,Commercial,Low,3,Robotic Cleaner,3.5
022,Window Cleaning,1.6,179.71,3.2,Residential,High,6,Manual Tools,3.4
023,Window Cleaning,1.4,83.42,4.8,Commercial,Low,3,Manual Tools,3.6
024,Solar Panel Cleaning,1.9,220.92,4.4,Residential,High,4,Water-fed Pole,3.3
025,Solar Panel Cleaning,2.1,80.8,5,Residential,High,6,Manual Tools,4.6
026,Window Cleaning,2.7,195.23,3.3,Commercial,High,3,Water-fed Pole,3.3
027,Window Cleaning,2.3,125.9,4.7,Commercial,High,4,Water-fed Pole,4.5
028,Window Cleaning,4,204.98,3.3,Commercial,Medium,5,Manual Tools,3.5
029,Window Cleaning,1.3,243.57,4.2,Residential,Low,5,Manual Tools,2.3
030,Solar Panel Cleaning,1.6,122.29,3.2,Commercial,High,3,Manual Tools,4
031,Window Cleaning,1.5,177.95,4.7,Commercial,High,6,Automated Cleaner,2.6
032,Solar Panel Cleaning,3,180.65,4.6,Residential,Medium,2,Water-fed Pole,4.5
033,Window Cleaning,1.8,177.28,4.1,Commercial,Low,3,Automated Cleaner,4
034,Solar Panel Cleaning,2.4,117.92,3.8,Residential,Medium,6,Robotic Cleaner,2.5
035,Window Cleaning,1.7,241.97,3.1,Commercial,High,1,Manual Tools,2.2
036,Window Cleaning,1.5,156.01,4.4,Commercial,High,4,Robotic Cleaner,2
037,Solar Panel Cleaning,1.3,223.89,3.9,Residential,High,1,Automated Cleaner,4.7
038,Window Cleaning,3,198.91,4.4,Residential,High,3,Water-fed Pole,2.4
039,Window Cleaning,1.4,130.56,4.7,Commercial,High,5,Squeegee,4.3
040,Solar Panel Cleaning,1.6,218.35,5,Commercial,Medium,4,Manual Tools,4.8
041,Solar Panel Cleaning,2.1,147.41,4.7,Residential,High,3,Robotic Cleaner,4.1
042,Window Cleaning,3.5,229.79,3,Commercial,Low,2,Robotic Cleaner,3.5
043,Solar Panel Cleaning,1.3,178.82,3.7,Commercial,Low,3,Robotic Cleaner,3.4
044,Window Cleaning,3.5,229.9,4.5,Commercial,Low,2,Automated Cleaner,4.6
045,Window Cleaning,1.3,197.73,3.3,Commercial,High,5,Automated Cleaner,3.5
046,Window Cleaning,3.9,203.29,4,Commercial,High,6,Squeegee,3.2
047,Window Cleaning,2.4,165.23,3.1,Commercial,Low,2,Automated Cleaner,2.5
048,Window Cleaning,3.9,242.53,3.4,Residential,High,1,Water-fed Pole,3.4
049,Solar Panel Cleaning,2.8,189.48,3,Residential,Low,6,Water-fed Pole,4.4
050,Window Cleaning,3.2,152.06,4.6,Commercial,Low,1,Robotic Cleaner,3.7