,Vases,,,,,,,,,
Product ID,Name,Categories,Description - notes,Amount,Minimum purchase for wholesale price,Wholesaler's price,Weight (g),Market price/final sale,Number of stores with the product for sale,Sold by average location
AA2,Small rectangular vase,Vases,Grey,$670,50,$268.00,190,$804.00,64,51
AA3,Large rectangular vase,Vases,White gray,"$1,010",50,$404.00,230,"$1,212.00",97,49
AA4,Triangular vase,Vases,Pink,$670,50,$268.00,320,$804.00,29,61
AA5,Small rounded vase,Vases,Grey rose,$670,50,$268.00,140,$804.00,80,53
AA6,Large rounded vase,Vases,Pink/Gray/Nautal,"$1,010",50,$404.00,420,"$1,212.00",66,49
AA7,Peca vase,Vases,White,"$1,010",50,$404.00,200,"$1,212.00",42,42
AA8,Combined vase,Vases,Orange/aqua,$760,50,$304.00,490,$912.00,52,56
AA9,Small fanal vase,Vases,Grey rose,$590,50,$236.00,450,$708.00,98,65
AA10,Medium rounded fanal vase ,Vases,apple green/emerald/aqua,$670,30,$268.00,400,$804.00,60,68
AA11,Medium straight fanal vase ,Vases,apple green/emerald/aqua,$670,30,$268.00,200,$804.00,30,64
AA12,Bali vase,Vases,Transparent,$570,30,$228.00,350,$684.00,117,40
AA13,Retro vase,Vases,Coral/green/yellow,$670,30,$268.00,190,$804.00,48,49
AA14,Benito vase,Vases,White/Black/Natural/Red,$590,50,$236.00,370,$708.00,87,54
AA15,Jacinto vase,Vases,Black/Black/Natural/Red/Aqua,$760,50,$304.00,200,$912.00,123,64
AA16,Large Javinto vase,Vases,Black/Black/Natural/Red/Aqua,"$1,150",50,$460.00,460,"$1,380.00",105,45
AA17,Small Roco vase,Vases,Black/Black/Natural/Aqua,$590,50,$236.00,360,$708.00,93,42
AA18,Medium Roco vase,Vases,Black/Black/Natural/Aqua,$760,50,$304.00,360,$912.00,35,46
AA19,Big Roco Florero,Vases,White/Black/Aqua,"$1,010",50,$404.00,130,"$1,212.00",122,64
AA20,Kenzo vase,Vases,White/Black/Red,"$1,180",50,$472.00,460,"$1,416.00",78,66
AA21,Moon vase,Vases,White/Black/Red,"$1,340",50,$536.00,310,"$1,608.00",83,59
AA22,Cylinder vase,Vases,Black White,$840,50,$336.00,110,"$1,008.00",96,44
,Candles,,,,,,,,,
Product ID,Name,Categories,Description - notes,Amount,Minimum purchase for wholesale price,Wholesaler's price,Weight (g),Market price/final sale,Number of stores with the product for sale,Sold by average location
BB4,Rays candles,Candles,Lavender/raspberry/peach,$500,10,$200.00,270,$600.00,55,69
BB5,Soy candles,Candles,Jasmine/Coco/Orchidieas/Papaya Melon/Limon/Vanilla,$840,10,$336.00,210,"$1,008.00",69,66
BB6,Wood cover candles,Candles,Gardenia Coco/Lavander Honey/Rosa Peonia,$590,10,$236.00,240,$708.00,73,56
BB7,Canned candles,Candles,Gardenia Coco/Lavander Honey/Pink Peonia/Vanilla Caramelo,$760,10,$304.00,300,$912.00,89,54
BB8,Mini candles,Candles,Gardenia Coco/Lavander Honey/Pink Peonia/Vanilla Caramelo,$250,10,$100.00,400,$300.00,35,42
BB9,Glass fanal with candle,Candles,Red,$390,10,$156.00,310,$468.00,98,50
,Decorative objects,,,,,,,,,
Product ID,Name,Categories,Description - notes,Amount,Minimum purchase for wholesale price,Wholesaler's price,Weight (g),Market price/final sale,Number of stores with the product for sale,Sold by average location
OD1,LED pictures,Decorative objects,Explore/Big Dream,"$1,260",10,$504.00,410,"$1,512.00",55,46
OD2,Succulent turtles,Decorative objects,,"$1,260",10,$504.00,500,"$1,512.00",57,46
OD3,Small Smile pots,Decorative objects,Boy,$590,10,$236.00,980,$708.00,93,46
OD4,Large Smile pots,Decorative objects,Big,$670,10,$268.00,940,$804.00,72,46
,Bottles,,,,,,,,,
Product ID,Name,Categories,Description - notes,Amount,Minimum purchase for wholesale price,Wholesaler's price,Weight (g),Market price/final sale,Number of stores with the product for sale,Sold by average location
FR1,Pacifier bottles,Bottles,600 cc.,$500,20,$200.00,390,$600.00,91,64
FR2,Custom hermetic jars,Bottles,750 cc.,$500,20,$200.00,340,$600.00,91,59
FR3,Hermetic jars with bronze closure,Bottles,700 cc.,$760,20,$304.00,370,$912.00,58,40
FR4,Hermetic jars with bronze closure,Bottles,1200 cc.,$920,20,$368.00,400,"$1,104.00",93,52
FR5,Hermetic jars with bronze closure,Bottles,2000 cc.,"$1,180",20,$472.00,360,"$1,416.00",97,63
FR6,Hermetic jars with silver closure,Bottles,500 cc.,$500,20,$200.00,400,$600.00,87,53
FR7,Hermetic jars with silver closure,Bottles,750 cc.,$670,20,$268.00,350,$804.00,24,51
FR8,Hermetic jars with silver closure,Bottles,1000 cc.,$840,20,$336.00,310,"$1,008.00",98,46
FR9,Funny 550cc bottles,Bottles,Red/Violet/Green,$500,20,$200.00,300,$600.00,27,63
FR10,Wooden lid jars,Bottles,700 cc.,$500,20,$200.00,380,$600.00,37,59
FR11,Wooden lid jars,Bottles,1000 cc.,$670,20,$268.00,340,$804.00,110,51
,Individual/site plate,,,,,,,,,
Product ID,Name,Categories,Description - notes,Amount,Minimum purchase for wholesale price,Wholesaler's price,Weight (g),Market price/final sale,Number of stores with the product for sale,Sold by average location
IP2,Individuals Macrame,Individual/site plate,Natural,"$1,090",20,$436.00,80,"$1,308.00",20,52
IP3,Posatutti macrame,Individual/site plate,Natural/Natural and Gray Topo/Natural and Yute,$450,20,$180.00,70,$540.00,88,57
IP4,Individual fabric,Individual/site plate,Grey,$840,20,$336.00,80,"$1,008.00",68,44
IP5,Marine algae plate,Individual/site plate,Natural,"$1,010",20,$404.00,50,"$1,212.00",86,70
IP6,Individual yute and fabric,Individual/site plate,White grey,"$1,090",20,$436.00,60,"$1,308.00",68,56
,Accessories,,,,,,,,,
Product ID,Name,Categories,Description - notes,Amount,Minimum purchase for wholesale price,Wholesaler's price,Weight (g),Market price/final sale,Number of stores with the product for sale,Sold by average location
A23,Key Macrame leaves,Accessories,Natural/Gray Topo/Tostado/Gray Topo and Tasted/Natural and Gray Topo,$370,1,$148.00,70,$444.00,44,45
,Table Centers,,,,,,,,,
Product ID,Name,Categories,Description - notes,Amount,Minimum purchase for wholesale price,Wholesaler's price,Weight (g),Market price/final sale,Number of stores with the product for sale,Sold by average location
CM1,Natural fiber centerpiece,Table Centers,Wengue,"$1,510",10,$604.00,100,"$1,812.00",107,45
CM2,Seaweed and jute centerpiece - YOKO,Table Centers,Natural,"$1,510",10,$604.00,50,"$1,812.00",119,40
,Paintings,,,,,,,,,
Product ID,Name,Categories,Description - notes,Amount,Minimum purchase for wholesale price,Wholesaler's price,Weight (g),Market price/final sale,Number of stores with the product for sale,Sold by average location
CU3,Multiple wooden photo frames,Paintings,Natural,"$1,340",10,$536.00,50,"$1,608.00",45,55
CU4,Set x 4 Nature paintings,Paintings,White,"$1,340",10,$536.00,50,"$1,608.00",29,45
,Basketry,,,,,,,,,
Product ID,Name,Categories,Description - notes,Amount,Minimum purchase for wholesale price,Wholesaler's price,Weight (g),Market price/final sale,Number of stores with the product for sale,Sold by average location
CE1,Mali tray,Basketry,Natural,"$1,600",20,$640.00,90,"$1,920.00",122,58
CE2,Natural Fiber Basket plot,Basketry,Natural,"$1,940",20,$776.00,380,"$2,328.00",78,44
CE3,Rectangular aluminum basket,Basketry,Copper,"$1,010",20,$404.00,350,"$1,212.00",86,66
CE4,Rectangular natural fiber basket,Basketry,Natural,"$2,030",20,$812.00,360,"$2,436.00",117,67
CE5,Rectangular natural and black fiber basket,Basketry,Small,"$2,030",20,$812.00,260,"$2,436.00",87,69
CE6,Rectangular natural and black fiber basket,Basketry,Big,"$2,360",20,$944.00,260,"$2,832.00",124,44
CE7,Round natural fiber baskets,Basketry,Small,"$1,510",20,$604.00,400,"$1,812.00",24,61
CE8,Round natural fiber baskets,Basketry,Medium,"$1,690",20,$676.00,330,"$2,028.00",95,47
CE9,Round baskets Natural fiber leather handle,Basketry,Mini,"$1,510",20,$604.00,290,"$1,812.00",49,53
CE10,Round baskets Natural fiber leather handle,Basketry,Small,"$1,690",20,$676.00,210,"$2,028.00",24,50
CE11,Round baskets Natural fiber leather handle,Basketry,Medium,"$1,860",20,$744.00,390,"$2,232.00",52,46
CE12,Round baskets Natural fiber leather handle,Basketry,Big,"$2,030",20,$812.00,260,"$2,436.00",105,62
CE13,Natural fiber oval baskets,Basketry,Small,"$1,860",20,$744.00,330,"$2,232.00",72,52
CE14,Natural fiber oval baskets,Basketry,Big,"$2,190",20,$876.00,230,"$2,628.00",108,46
CE15,Multipurpose of natural fiber,Basketry,Big,"$1,260",20,$504.00,370,"$1,512.00",54,57
CE16,Wicker baskets with fabric,Basketry,Mini,"$1,290",20,$516.00,280,"$1,548.00",117,61
CE17,Wicker baskets with fabric,Basketry,Small,"$1,580",20,$632.00,230,"$1,896.00",82,48
CE18,Wicker baskets with fabric,Basketry,Medium,"$1,860",20,$744.00,240,"$2,232.00",72,52
CE19,Wicker baskets with fabric,Basketry,Big,"$2,160",20,$864.00,360,"$2,592.00",30,63
,Textile,,,,,,,,,
Product ID,Name,Categories,Description - notes,Amount,Minimum purchase for wholesale price,Wholesaler's price,Weight (g),Market price/final sale,Number of stores with the product for sale,Sold by average location
TEX1,London pillows,Textile,White grey,"$1,430",20,$572.00,330,"$1,716.00",28,44
TEX2,Star pillows,Textile,White grey,"$1,260",20,$504.00,400,"$1,512.00",108,49
TEX3,Silver pillows,Textile,,"$1,260",20,$504.00,400,"$1,512.00",93,62
TEX4,Cobbled pillows,Textile,Squares/Dots/Stones,"$1,260",20,$504.00,390,"$1,512.00",91,68
TEX5,Vintage pillows,Textile,Grey,"$1,260",20,$504.00,390,"$1,512.00",36,40
TEX6,Container pillows,Textile,White grey,"$1,260",20,$504.00,380,"$1,512.00",83,54
TEX7,Simple Gauze Runner 50x250,Textile,Natural,"$4,710",20,"$1,884.00",310,"$5,652.00",81,43
TEX8,Double Gauze Runner 50x250,Textile,Natural,"$5,900",20,"$2,360.00",340,"$7,080.00",40,40
,Bazaar,,,,,,,,,
Product ID,Name,Categories,Description - notes,Amount,Minimum purchase for wholesale price,Wholesaler's price,Weight (g),Market price/final sale,Number of stores with the product for sale,Sold by average location
BA1,Kiwi mate,Bazaar,Black/White/Pink/Red/Aqua,"$1,380",50,$552.00,260,"$1,656.00",52,62
BA2,Palta mate,Bazaar,Black/white/pink/red/aqua/natural/matt black,"$1,380",50,$552.00,120,"$1,656.00",110,53
BA3,520cc ceramic bowls,Bazaar,Lunares/Rayas/Letters/Marmol,$650,50,$260.00,180,$780.00,86,40
BA4,Milk + sugar tray,Bazaar,Black Base/White Base,"$1,510",50,$604.00,210,"$1,812.00",89,46
BA5,Ceramic sugar/yerba bowl,Bazaar,White Sugar/Yerberra,"$1,010",50,$404.00,300,"$1,212.00",48,65
BA6,Ceramic sugar/yerba bowl with wooden lid,Bazaar,White Sugar Bowl/White Yerbera/Black Sugar Bowl/Black Yerbera,"$1,180",50,$472.00,130,"$1,416.00",69,57
,Carpets,,,,,,,,,
Product ID,Name,Categories,Description - notes,Amount,Minimum purchase for wholesale price,Wholesaler's price,Weight (g),Market price/final sale,Number of stores with the product for sale,Sold by average location
AL1,Black 50x80 carpet with gray/beige edges,Carpets,Gray edge/Beige edge,"$1,770",5,$708.00,630,"$2,124.00",35,43
AL2,50x80 nest carpet,Carpets,Gray and black/brown and black/flowers/white and gray/cream and black/beige and black,"$1,770",5,$708.00,990,"$2,124.00",128,57
AL3,60x90 rustic carpets,Carpets,India/Kenya/Jamaica/Crocia/China/Switzerland/Greece,"$2,160",10,$864.00,620,"$2,592.00",129,41
AL4,70x130 rustic carpets,Carpets,Kenya/Jamaica/Crocia/Switzerland/Belgium,"$2,750",10,"$1,100.00",850,"$3,300.00",56,46
AL5,90cm Rome Carpet,Carpets,90 cm. diam.,"$5,900",10,"$2,360.00",960,"$7,080.00",67,50
AL6,120cm Rome Carpet,Carpets,120 cm. diam.,"$9,830",10,"$3,932.00",840,"$11,796.00",124,58
AL7,150cm Rome Carpet,Carpets,150 cm. diam.,"$13,770",10,"$5,508.00",940,"$16,524.00",85,44
AL8,120cm Madrid Carpet,Carpets,120 cm. diam.,"$11,800",10,"$4,720.00",690,"$14,160.00",129,64
AL9,150cm Madrid Carpet,Carpets,150 cm. diam.,"$15,730",10,"$6,292.00",930,"$18,876.00",125,67
AL10,50x80 Milan carpet,Carpets,50x80,"$2,950",10,"$1,180.00",760,"$3,540.00",41,70
AL11,60x200 Athenas carpet,Carpets,Stripes/rhombus,"$5,900",10,"$2,360.00",790,"$7,080.00",24,51
AL12,Prague carpet,Carpets,70x120,"$9,440",20,"$3,776.00",920,"$11,328.00",86,45
AL13,Berlin carpet,Carpets,70x120,"$11,800",20,"$4,720.00",610,"$14,160.00",64,60
AL14,Lisbon carpet,Carpets,60x100,"$2,750",20,"$1,100.00",850,"$3,300.00",112,48
AL15,Vienna carpet,Carpets,70 x 120,"$2,360",20,$944.00,970,"$2,832.00",29,60
AL16,Moscow carpet 80x120,Carpets,80 x 120,"$7,080",20,"$2,832.00",670,"$8,496.00",66,48
AL17,Moscow carpet 120x180,Carpets,120 x 180,"$9,830",5,"$3,932.00",600,"$11,796.00",71,59
AL18,100% natural yute carpet 60x200,Carpets,60x200,"$6,940",5,"$2,776.00",730,"$8,328.00",42,60
AL19,100% Indian cotton carpet 60x200,Carpets,60x200,"$6,570",5,"$2,628.00",770,"$7,884.00",90,46
AL20,Yute and cotton carpet 60x90,Carpets,60x90,"$2,190",5,$876.00,700,"$2,628.00",56,49
AL21,Yute doormat,Carpets,40x70,"$2,110",5,$844.00,810,"$2,532.00",38,62
,Essences,,,,,,,,,
Product ID,Name,Categories,Description - notes,Amount,Minimum purchase for wholesale price,Wholesaler's price,Weight (g),Market price/final sale,Number of stores with the product for sale,Sold by average location
ES1,Essential Oils 40ml,Essences,Coconut Vanilla/Freesias/Lemon Fresh/Watermelon Cucumber/Green Tea/Rose Tea/Linden/Incense,$250,60,$100.00,260,$300.00,96,66
ES2,Diffuser 250ml,Essences,Bergamot/Vanilla Cream/Nectarine/Passion Fruit/Green Apple/Rose Tea/Peony,$590,60,$236.00,120,$708.00,53,65
ES3,Little Oven + Candle,Essences,White/Black/Red,$500,60,$200.00,220,$600.00,127,43
ES4,Ceramic diffuser - container with rods,Essences,Black/Black/Aqua/Natural,$420,60,$168.00,100,$504.00,67,70
ES5,Home Spray 250ml - various aromas,Essences,Peony/Oriental Fig/Maria Cher/Passion Fruit/Nectarine/Vanilla Cream/Bergamot,$420,60,$168.00,100,$504.00,86,59
ES6,Home Spray 250ml - Original Aroma,Essences,Original,$630,60,$252.00,180,$756.00,85,49
,Flowers,,,,,,,,,
Product ID,Name,Categories,Description - notes,Amount,Minimum purchase for wholesale price,Wholesaler's price,Weight (g),Market price/final sale,Number of stores with the product for sale,Sold by average location
FL1,Small Olivia Preserved flowers,Flowers,Natural/Orange/Violet/Pink,"$1,580",10,$632.00,200,"$1,896.00",111,45
FL2,Large Olivia Preserved flowers,Flowers,Natural/Orange/Violet/Pink,"$1,960",20,$784.00,270,"$2,352.00",86,42
FL3,Tokyo Preserved flowers,Flowers,Natural,"$1,460",30,$584.00,130,"$1,752.00",38,61