AccountID,MovementID,Date,Amount,Client,Subclient,Administrator,Voided,New Payment,Branch,Sub status,Corrected date,Subestado2
32939772,3.067.642,6/4/2022,"$122.707,00",BANCO HIPOTECARIO S.A.,BCO HIPOTECARIO RIND,ctagashira,N,S,BUENOS AIRES,CANCELLED,6/4/2022,
32985299,3.068.546,8/4/2022,"$120.000,00",BANCO HIPOTECARIO S.A.,BCO HIPOTECARIO RIND,rochoa,N,S,BUENOS AIRES,CANCELLED,8/4/2022,
33011972,3.069.978,14/4/2022,"$56.100,00",BANCO HIPOTECARIO S.A.,BCO HIPOTECARIO 1RA,gtannauri,N,S,BUENOS AIRES,COMPROMISED,14/4/2022,
32951447,3.069.026,11/4/2022,"$56.000,00",BANCO HIPOTECARIO S.A.,BCO HIPOTECARIO RIND,ctagashira,N,S,BUENOS AIRES,COMPROMISED,11/4/2022,
33000509,3.067.350,6/4/2022,"$44.300,00",BANCO HIPOTECARIO S.A.,BCO HIPOTECARIO 2DA,pramirez,N,S,BUENOS AIRES,CANCELLED,6/4/2022,
32939444,3.068.547,8/4/2022,"$37.000,00",BANCO HIPOTECARIO S.A.,BCO HIPOTECARIO RIND,pramirez,N,S,BUENOS AIRES,COMPROMISED,8/4/2022,
32911831,0,4/4/2022,"$34.100,00",BANCO COMAFI AFSA,BANCO COMAFI AFSA - EX BCO PROVINCIALES,colchon,N,N,MENDOZA,CANCELLED,4/4/2022,
32954439,3.069.980,14/4/2022,"$32.000,00",BANCO HIPOTECARIO S.A.,BCO HIPOTECARIO RIND,rdiaz,N,S,BUENOS AIRES,COMPROMISED,14/4/2022,
32995374,3.067.358,6/4/2022,"$28.814,00",BANCO HIPOTECARIO S.A.,BCO HIPOTECARIO RIND,gtannauri,N,S,TUCUMAN,COMPROMISED,6/4/2022,
32984653,3.069.024,11/4/2022,"$25.000,00",BANCO HIPOTECARIO S.A.,BCO HIPOTECARIO RIND,rdiaz,N,S,SANTIAGO DEL ESTERO,COMPROMISED,11/4/2022,
32952363,3.067.637,6/4/2022,"$21.600,00",BANCO HIPOTECARIO S.A.,BCO HIPOTECARIO RIND,gtannauri,N,S,INTERIOR,CANCELLED,6/4/2022,
32982382,3.069.983,14/4/2022,"$19.880,00",BANCO HIPOTECARIO S.A.,BCO HIPOTECARIO RIND,gtannauri,N,S,CORRIENTES,COMPROMISED,14/4/2022,
32979411,3.068.544,8/4/2022,"$18.953,00",BANCO HIPOTECARIO S.A.,BCO HIPOTECARIO RIND,rmirabella,N,S,BUENOS AIRES,CANCELLED,8/4/2022,
32977478,3.068.163,8/4/2022,"$18.665,00",BANCO HIPOTECARIO S.A.,BCO HIPOTECARIO RIND,fbernales,N,S,SANTIAGO DEL ESTERO,CANCELLED,8/4/2022,
32996160,3.068.550,8/4/2022,"$18.000,00",BANCO HIPOTECARIO S.A.,BCO HIPOTECARIO RIND,ctagashira,N,S,CHACO,COMPROMISED,8/4/2022,
32943876,3.068.147,7/4/2022,"$16.693,00",BANCO COMAFI FRED,BCO COMAFI - AXXIA LENDING SA,colchon,N,N,INTERIOR,WITH AGREEMENT,7/4/2022,
32984085,3.069.982,14/4/2022,"$16.000,00",BANCO HIPOTECARIO S.A.,BCO HIPOTECARIO RIND,rochoa,N,S,INTERIOR,COMPROMISED,14/4/2022,
32905056,3.067.348,6/4/2022,"$15.895,00",BANCO HIPOTECARIO S.A.,BCO HIPOTECARIO RIND,valid92,N,N,CHACO,WITH AGREEMENT,6/4/2022,
32943707,3.069.637,13/4/2022,"$15.653,00",BANCO HIPOTECARIO S.A.,BCO HIPOTECARIO 1RA,pramirez,N,N,BUENOS AIRES,WITH AGREEMENT,13/4/2022,
32954350,3.068.165,8/4/2022,"$15.000,00",BANCO HIPOTECARIO S.A.,BCO HIPOTECARIO RIND,rochoa,N,S,CHACO,CANCELLED,8/4/2022,
32951522,0,11/4/2022,"$14.365,00",BANCO HIPOTECARIO S.A.,BCO HIPOTECARIO RIND,rdiaz,N,S,CORRIENTES,COMPROMISED,11/4/2022,
32846293,3.067.640,6/4/2022,"$14.335,00",BANCO HIPOTECARIO S.A.,BCO HIPOTECARIO RIND,mluna,N,N,BUENOS AIRES,WITH AGREEMENT,6/4/2022,
32977844,3.067.353,6/4/2022,"$14.000,00",BANCO HIPOTECARIO S.A.,BCO HIPOTECARIO RIND,mluna,N,S,BUENOS AIRES,CANCELLED,6/4/2022,
32700605,0,6/4/2022,"$13.385,00",BANCO HIPOTECARIO S.A.,BCO HIPOTECARIO RIND,rrodriguez,N,N,TUCUMAN,CANCELLED,6/4/2022,
32997306,3.069.029,11/4/2022,"$13.365,00",BANCO HIPOTECARIO S.A.,BCO HIPOTECARIO RIND,fbernales,N,S,TUCUMAN,CANCELLED,11/4/2022,
33005804,0,5/4/2022,"$13.300,00",BANCO COMAFI AFSA,BCO COMAFI AFSA - EX SANTANDER,valid12,N,S,BUENOS AIRES,WITH AGREEMENT,5/4/2022,
32979120,3.067.349,6/4/2022,"$13.000,00",BANCO HIPOTECARIO S.A.,BCO HIPOTECARIO RIND,nmoreira,N,S,CHACO,COMPROMISED,6/4/2022,
32971917,3.067.641,6/4/2022,"$12.400,00",BANCO HIPOTECARIO S.A.,BCO HIPOTECARIO RIND,pramirez,N,S,BUENOS AIRES,CANCELLED,6/4/2022,
32859415,3.068.553,8/4/2022,"$12.384,00",BANCO HIPOTECARIO S.A.,BCO HIPOTECARIO RIND,gtannauri,N,N,BUENOS AIRES,WITH AGREEMENT,8/4/2022,
32940502,3.067.632,6/4/2022,"$12.374,00",BANCO HIPOTECARIO S.A.,BCO HIPOTECARIO RIND,rrodriguez,N,N,CHACO,WITH AGREEMENT,6/4/2022,
32903859,3.069.027,11/4/2022,"$10.781,00",BANCO HIPOTECARIO S.A.,BCO HIPOTECARIO RIND,pramirez,N,N,FORMOSA,WITH AGREEMENT,11/4/2022,
32674628,3.068.082,7/4/2022,"$10.350,00",BANCO COMAFI AFSA,BANCO COMAFI AFSA - EX BCO PROVINCIALES,colchon,N,N,INTERIOR,CANCELLED,7/4/2022,
32977374,3.067.639,6/4/2022,"$10.000,00",BANCO HIPOTECARIO S.A.,BCO HIPOTECARIO RIND,iochoa,N,S,CHACO,CANCELLED,6/4/2022,
32998990,3.069.530,12/4/2022,"$10.000,00",BANCO COMAFI FRED,BCO COMAFI - CARTERA MAG,ajuarez,N,S,SAN JUAN,COMPROMISED,12/4/2022,
32771223,3.068.548,8/4/2022,"$9.470,00",BANCO HIPOTECARIO S.A.,BCO HIPOTECARIO RIND,pramirez,N,N,CHACO,WITH AGREEMENT,8/4/2022,
32924666,3.067.643,6/4/2022,"$9.450,00",BANCO HIPOTECARIO S.A.,BCO HIPOTECARIO RIND,ahermosilla,N,N,MENDOZA,WITH AGREEMENT,6/4/2022,
32953163,3.067.638,6/4/2022,"$8.842,00",BANCO HIPOTECARIO S.A.,BCO HIPOTECARIO RIND,mluna,N,N,SALTA,WITH AGREEMENT,6/4/2022,
32210634,3.067.635,6/4/2022,"$8.705,00",BANCO HIPOTECARIO S.A.,BCO HIPOTECARIO 1RA,ahermosilla,N,N,SALTA,WITH AGREEMENT,6/4/2022,
32911720,0,11/4/2022,"$8.684,00",BANCO COMAFI AFSA,BANCO COMAFI AFSA - EX BCO PROVINCIALES,colchon,N,N,INTERIOR,CANCELLED,11/4/2022,
32939098,3.067.359,6/4/2022,"$8.600,00",BANCO HIPOTECARIO S.A.,BCO HIPOTECARIO RIND,mluna,N,S,CHACO,CANCELLED,6/4/2022,
32943700,3.068.169,8/4/2022,"$8.600,00",BANCO HIPOTECARIO S.A.,BCO HIPOTECARIO 1RA,ahermosilla,N,N,BUENOS AIRES,WITH AGREEMENT,8/4/2022,
32890353,3.069.025,11/4/2022,"$7.894,00",BANCO HIPOTECARIO S.A.,BCO HIPOTECARIO RIND,gtannauri,N,N,SANTIAGO DEL ESTERO,WITH AGREEMENT,11/4/2022,
32982297,3.068.542,8/4/2022,"$7.616,00",BANCO HIPOTECARIO S.A.,BCO HIPOTECARIO RIND,lbrito,N,S,BUENOS AIRES,WITH AGREEMENT,8/4/2022,
32555855,3.068.108,7/4/2022,"$7.521,00",BANCO COMAFI FRED,BCO COMAFI - EX T NARANJA,colchon,N,N,BUENOS AIRES,WITH AGREEMENT,7/4/2022,
32620834,3.067.347,6/4/2022,"$7.500,00",BANCO HIPOTECARIO S.A.,BCO HIPOTECARIO RIND,gtannauri,N,N,BUENOS AIRES,WITH AGREEMENT,6/4/2022,
32385539,3.068.102,7/4/2022,"$7.500,00",BANCO COMAFI FRED,BCO COMAFI - EX BG,colchon,N,N,SALTA,PARTIAL PAYMENTS,7/4/2022,
32349322,3.068.164,8/4/2022,"$6.939,00",BANCO HIPOTECARIO S.A.,BCO HIPOTECARIO 1RA,pvictor,N,N,BUENOS AIRES,WITH AGREEMENT,8/4/2022,
32681667,3.069.636,13/4/2022,"$6.900,00",BANCO HIPOTECARIO S.A.,BCO HIPOTECARIO RIND,pramirez,N,N,TUCUMAN,WITH AGREEMENT,13/4/2022,
32789261,3.068.083,7/4/2022,"$6.660,00",BANCO COMAFI FRED,BCO COMAFI - EX T NARANJA,colchon,N,N,SALTA,WITH AGREEMENT,7/4/2022,
32798035,3.069.638,13/4/2022,"$6.634,00",BANCO HIPOTECARIO S.A.,BCO HIPOTECARIO RIND,dbustos,N,N,BUENOS AIRES,WITH AGREEMENT,13/4/2022,
32735284,3.067.357,06/04/2022,"$6.177,00",BANCO HIPOTECARIO S.A.,BCO HIPOTECARIO RIND,pramirez,N,N,JUJUY,WITH AGREEMENT,6/4/2022,
32176406,3.068.135,07/04/2022,"$6.000,00",BANCO COMAFI FRED,BCO COMAFI - EX BG,colchon,N,N,BUENOS AIRES,WITH AGREEMENT,7/4/2022,
32837801,3.069.513,12/04/2022,"$6.000,00",BANCO COMAFI AFSA,BANCO COMAFI AFSA - EX BCO PROVINCIALES,colchon,N,N,INTERIOR,PARTIAL PAYMENTS,12/4/2022,
32851467,0,06/04/2022,"$5.900,00",BANCO COMAFI AFSA,BANCO COMAFI AFSA - EX BCO PROVINCIALES,valid29,N,N,INTERIOR,PARTIAL PAYMENTS,6/4/2022,
32992003,0,11/04/2022,"$5.670,00",BANCO COMAFI AFSA,BANCO COMAFI AFSA - EX BCO PROVINCIALES,valid12,N,N,INTERIOR,WITH AGREEMENT,11/4/2022,
32953809,3.069.030,11/04/2022,"$5.620,00",BANCO HIPOTECARIO S.A.,BCO HIPOTECARIO RIND,ctagashira,N,S,BUENOS AIRES,COMPROMISED,11/4/2022,
32939761,3.068.166,08/04/2022,"$5.609,00",BANCO HIPOTECARIO S.A.,BCO HIPOTECARIO RIND,ctagashira,N,S,BUENOS AIRES,COLLECTION ACCOUNT,8/4/2022,
32257284,3.067.633,06/04/2022,"$5.417,00",BANCO HIPOTECARIO S.A.,BCO HIPOTECARIO 2DA,valid27,N,N,BUENOS AIRES,WITH AGREEMENT,6/4/2022,
32930850,0,11/04/2022,"$5.400,00",BANCO COMAFI AFSA,BANCO COMAFI AFSA - EX BCO PROVINCIALES,colchon,N,N,INTERIOR,WITH AGREEMENT,11/4/2022,
32893194,0,07/04/2022,"$5.294,00",BANCO HIPOTECARIO S.A.,BCO HIPOTECARIO RIND,gtannauri,N,N,SAN JUAN,WITH AGREEMENT,7/4/2022,
32930543,0,11/04/2022,"$5.200,00",BANCO COMAFI AFSA,BANCO COMAFI AFSA - EX BCO PROVINCIALES,nalzogaray,N,N,SAN JUAN,WITH AGREEMENT,11/4/2022,
32943967,3.068.144,07/04/2022,"$5.100,00",BANCO COMAFI FRED,BCO COMAFI - AXXIA LENDING SA,colchon,N,N,INTERIOR,WITH AGREEMENT,7/4/2022,
32755414,0,11/04/2022,"$5.100,00",BANCO COMAFI FRED,BCO COMAFI - AXXIA LENDING SA,colchon,N,N,BUENOS AIRES,WITH AGREEMENT,11/4/2022,
32229490,3.067.355,06/04/2022,"$5.089,00",BANCO HIPOTECARIO S.A.,BCO HIPOTECARIO 1RA,valid92,N,N,BUENOS AIRES,WITH AGREEMENT,6/4/2022,
32899560,3.068.551,08/04/2022,"$5.000,00",BANCO HIPOTECARIO S.A.,BCO HIPOTECARIO RIND,ahermosilla,N,N,BUENOS AIRES,WITH AGREEMENT,8/4/2022,
32911705,0,08/04/2022,"$5.000,00",BANCO COMAFI AFSA,BANCO COMAFI AFSA - EX BCO PROVINCIALES,colchon,N,N,SAN JUAN,PARTIAL PAYMENTS,8/4/2022,
32493584,3.068.141,07/04/2022,"$4.972,00",BANCO COMAFI FRED,BCO COMAFI - AXXIA LENDING SA,colchon,N,N,LA RIOJA,WITH AGREEMENT,7/4/2022,
32802667,3.069.028,11/04/2022,"$4.801,00",BANCO HIPOTECARIO S.A.,BCO HIPOTECARIO RIND,pvictor,N,N,TUCUMAN,WITH AGREEMENT,11/4/2022,
32242053,3.069.981,14/04/2022,"$4.800,00",BANCO HIPOTECARIO S.A.,BCO HIPOTECARIO 1RA,pvictor,N,N,BUENOS AIRES,WITH AGREEMENT,14/4/2022,
32704894,3.067.646,06/04/2022,"$4.756,00",BANCO HIPOTECARIO S.A.,BCO HIPOTECARIO RIND,mluna,N,N,CATAMARCA,WITH AGREEMENT,6/4/2022,
32880755,3.068.101,07/04/2022,"$4.600,00",BANCO COMAFI AFSA,BANCO COMAFI AFSA - EX BCO STA FE,colchon,N,N,INTERIOR,WITH AGREEMENT,7/4/2022,
32470109,0,04/04/2022,"$4.596,00",BANCO HIPOTECARIO S.A.,BCO HIPOTECARIO RIND,valid27,N,N,TUCUMAN,WITH AGREEMENT,4/4/2022,
32437873,3.068.552,08/04/2022,"$4.500,00",BANCO HIPOTECARIO S.A.,BCO HIPOTECARIO RIND,valid96,N,N,CATAMARCA,WITH AGREEMENT,8/4/2022,
32428937,3.069.640,13/04/2022,"$4.330,00",BANCO HIPOTECARIO S.A.,BCO HIPOTECARIO 1RA,pramirez,N,N,BUENOS AIRES,WITH AGREEMENT,13/4/2022,
32833815,3.068.545,08/04/2022,"$4.318,00",BANCO HIPOTECARIO S.A.,BCO HIPOTECARIO RIND,gtannauri,N,N,BUENOS AIRES,WITH AGREEMENT,8/4/2022,
32336021,3.069.634,13/04/2022,"$4.250,00",BANCO HIPOTECARIO S.A.,BCO HIPOTECARIO 3RA,gtannauri,N,N,CHACO,WITH AGREEMENT,13/4/2022,
32289492,3.067.352,06/04/2022,"$4.000,00",BANCO HIPOTECARIO S.A.,BCO HIPOTECARIO 1RA,dbustos,N,N,CHACO,WITH AGREEMENT,6/4/2022,
32429078,3.067.360,06/04/2022,"$4.000,00",BANCO HIPOTECARIO S.A.,BCO HIPOTECARIO 1RA,mluna,N,N,TUCUMAN,WITH AGREEMENT,6/4/2022,
32289492,0,06/04/2022,"$4.000,00",BANCO HIPOTECARIO S.A.,BCO HIPOTECARIO 1RA,dbustos,N,N,CHACO,WITH AGREEMENT,6/4/2022,
32857498,3.069.641,13/04/2022,"$3.900,00",BANCO HIPOTECARIO S.A.,BCO HIPOTECARIO RIND,valid27,N,N,CORRIENTES,WITH AGREEMENT,13/4/2022,
32943944,0,11/04/2022,"$3.585,00",BANCO COMAFI FRED,BCO COMAFI - AXXIA LENDING SA,colchon,N,N,INTERIOR,WITH AGREEMENT,11/4/2022,
32589247,3.068.134,07/04/2022,"$3.500,00",BANCO COMAFI AFSA,BANCO COMAFI AFSA - EX BCO PROVINCIALES,colchon,N,N,INTERIOR,PARTIAL PAYMENTS,7/4/2022,
32368529,3.069.979,14/04/2022,"$3.200,00",BANCO HIPOTECARIO S.A.,BCO HIPOTECARIO RIND,mluna,N,N,JUJUY,WITH AGREEMENT,14/4/2022,
32254594,3.069.639,13/04/2022,"$3.075,00",BANCO HIPOTECARIO S.A.,BCO HIPOTECARIO 1RA,valid92,N,N,SANTIAGO DEL ESTERO,CANCELLED,13/4/2022,
32368406,3.067.644,06/04/2022,"$3.061,00",BANCO HIPOTECARIO S.A.,BCO HIPOTECARIO RIND,pvictor,N,N,BUENOS AIRES,WITH AGREEMENT,6/4/2022,
32988643,3.068.111,07/04/2022,"$3.000,00",BANCO COMAFI FRED,CARTERA COMAFI,mvallejo,N,N,BUENOS AIRES,PARTIAL PAYMENTS,7/4/2022,
32437629,3.067.354,06/04/2022,"$2.900,00",BANCO HIPOTECARIO S.A.,BCO HIPOTECARIO RIND,rrodriguez,N,N,SANTIAGO DEL ESTERO,WITH AGREEMENT,6/4/2022,
32565287,3.068.541,08/04/2022,"$2.600,00",BANCO HIPOTECARIO S.A.,BCO HIPOTECARIO RIND,pramirez,N,N,CHACO,WITH AGREEMENT,8/4/2022,
32272238,3.068.167,08/04/2022,"$2.539,00",BANCO HIPOTECARIO S.A.,BCO HIPOTECARIO 1RA,valid22,N,N,BUENOS AIRES,WITH AGREEMENT,8/4/2022,
32331942,3.068.543,08/04/2022,"$2.500,00",BANCO HIPOTECARIO S.A.,BCO HIPOTECARIO 1RA,valid92,N,N,MENDOZA,WITH AGREEMENT,8/4/2022,
32387796,0,08/04/2022,"$2.500,00",BANCO HIPOTECARIO S.A.,BCO HIPOTECARIO 2DA,mluna,N,N,TUCUMAN,WITH AGREEMENT,8/4/2022,
32994919,3.068.549,08/04/2022,"$2.399,00",BANCO HIPOTECARIO S.A.,BCO HIPOTECARIO RIND,rdiaz,N,S,SAN LUIS,COMPROMISED,8/4/2022,
32470096,3.067.351,06/04/2022,"$2.000,00",BANCO HIPOTECARIO S.A.,BCO HIPOTECARIO RIND,pvictor,N,N,BUENOS AIRES,WITH AGREEMENT,6/4/2022,
32359761,0,08/04/2022,"$1.800,00",BANCO HIPOTECARIO S.A.,BCO HIPOTECARIO 2DA,ahermosilla,N,N,BUENOS AIRES,WITH AGREEMENT,8/4/2022,
32983034,3.067.645,06/04/2022,"$1.590,00",BANCO HIPOTECARIO S.A.,BCO HIPOTECARIO RIND,nalzogaray,N,S,MISIONES,CANCELLED,6/4/2022,
31049702,3.068.152,07/04/2022,"$1.500,00",BANCO COMAFI FRED,BCO COMAFI - FIDEICOMISO CREVAL JUDICIAL,mcainzo,N,N,TUCUMAN,CANCELLED,7/4/2022,
32287799,3.069.635,13/04/2022,"$1.500,00",BANCO HIPOTECARIO S.A.,BCO HIPOTECARIO RIND,njuri,N,N,BUENOS AIRES,WITH AGREEMENT,13/4/2022,
32953907,0,05/04/2022,"$1.480,00",BANCO HIPOTECARIO S.A.,BCO HIPOTECARIO RIND,fbernales,N,S,SALTA,CANCELLED,5/4/2022,