Location,Zip code,Date,Distance (mi),Charge ($0.12/mi.),Time budget (min.),Pay (@$0.83/min.),Travel expense to be paid
FL,90049,8/11/2023,2.4,$0.29,15.00,$12.45,$12.74
SC,90077,8/12/2023,7.8,$0.94,35.00,$29.05,$29.99
AN,90024,8/15/2023,8.4,$1.01,35.00,$29.05,$30.06
EA,91607,8/16/2023,3.2,$0.38,15.00,$12.45,$12.83
TR,90064,8/24/2023,2.8,$0.34,15.00,$12.45,$12.79
SD,91311,8/24/2023,8.9,$1.07,35.00,$29.05,$30.12
GN,91316,8/26/2023,5.4,$0.65,20.00,$16.60,$17.25
FL,90049,8/31/2023,2.2,$0.26,15.00,$12.45,$12.71
EA,91607,9/1/2023,3.2,$0.38,15.00,$12.45,$12.83
DN,91506,9/1/2023,5.4,$0.65,20.00,$16.60,$17.25
FD,90049,9/12/2023,7.7,$0.92,35.00,$29.05,$29.97
SC,90077,9/14/2023,11.2,$1.34,40.00,$33.20,$34.54
EA,91607,9/15/2023,3.2,$0.38,15.00,$12.45,$12.83
AN,90024,9/19/2023,8.4,$1.01,35.00,$29.05,$30.06
SC,90077,9/26/2023,7.4,$0.89,35.00,$29.05,$29.94
TR,90064,9/28/2023,5.3,$0.64,20.00,$16.60,$17.24
EA,91607,10/1/2023,3.2,$0.38,15.00,$12.45,$12.83
FL,90049,10/11/2023,3.4,$0.41,15.00,$12.45,$12.86
SD,91311,10/11/2023,1.8,$0.22,15.00,$12.45,$12.67
GR,91311,10/11/2023,6.4,$0.77,20.00,$16.60,$17.37
FC,90064,10/14/2023,7.1,$0.85,35.00,$29.05,$29.90
FL,90049,10/15/2023,6.4,$0.77,20.00,$16.60,$17.37
DN,91204,10/15/2023,9.6,$1.15,40.00,$33.20,$34.35
EA,91607,10/16/2023,3.2,$0.38,15.00,$12.45,$12.83
AN,90024,10/17/2023,8.4,$1.01,35.00,$29.05,$30.06
GN,91316,10/17/2023,7.6,$0.91,35.00,$29.05,$29.96
GR,91311,10/17/2023,8.4,$1.01,35.00,$29.05,$30.06
FC,90064,10/17/2023,4.3,$0.52,20.00,$16.60,$17.12
FC,90064,10/18/2023,8.6,$1.03,35.00,$29.05,$30.08
GR,91311,10/19/2023,9,$1.08,40.00,$33.20,$34.28
SD,91311,10/19/2023,1.6,$0.19,15.00,$12.45,$12.64
FC,90064,10/19/2023,3.8,$0.46,15.00,$12.45,$12.91
BA,90077,10/19/2023,12.3,$1.48,40.00,$33.20,$34.68
BA,90077,10/20/2023,7.6,$0.91,35.00,$29.05,$29.96
EA,91607,10/26/2023,3.2,$0.38,15.00,$12.45,$12.83
BA,90077,10/26/2023,5.7,$0.68,20.00,$16.60,$17.28
DN,91506,10/27/2023,8.4,$1.01,35.00,$29.05,$30.06
EA,91607,11/1/2023,3.2,$0.38,15.00,$12.45,$12.83
GR,91311,11/3/2023,0.8,$0.10,15.00,$12.45,$12.55
AN,90024,11/15/2023,8.4,$1.01,35.00,$29.05,$30.06
EA,91607,11/16/2023,3.2,$0.38,15.00,$12.45,$12.83
AN,90024,11/22/2023,8.4,$1.01,35.00,$29.05,$30.06
DN,91506,11/22/2023,9.2,$1.10,40.00,$33.20,$34.30
FL,90049,11/22/2023,6.1,$0.73,20.00,$16.60,$17.33
FC,90064,11/27/2023,18.2,$2.18,45.00,$37.35,$39.53
TR,90064,11/27/2023,6.5,$0.78,25.00,$20.75,$21.53
EA,91607,12/1/2023,3.2,$0.38,15.00,$12.45,$12.83
DN,91506,12/4/2023,12,$1.44,40.00,$33.20,$34.64
FL,90049,12/4/2023,4.4,$0.53,20.00,$16.60,$17.13
TR,90064,12/6/2023,3.9,$0.47,15.00,$12.45,$12.92
DN,91506,12/13/2023,15.4,$1.85,40.00,$33.20,$35.05
EA,91607,12/15/2023,3.2,$0.38,15.00,$12.45,$12.83
SD,91311,12/16/2023,2.1,$0.25,15.00,$12.45,$12.70
GR,91311,12/16/2023,7.2,$0.86,35.00,$29.05,$29.91
AN,90024,12/18/2023,8.4,$1.01,35.00,$29.05,$30.06
GN,91316,12/23/2023,8.6,$1.03,35.00,$29.05,$30.08