Printify ID,Order Status,Date created,Sent to prod,Order ID,Store name,Order type,Product Cost,Shipping Cost,VAT / Tax cost,Total cost,Currency,Order retail value,City,State,Zip,Shipping carrier,Invoices
5874055.216,fulfilled,11/1/2023 0:33,11/1/2023 1:41,3069298806,Higher Ed Threads,api,4.37 USD,4.79 USD,0.00 USD,9.16,USD,15.00 USD,Steamboat Springs,CO,80487,USPS,
5724648.565,fulfilled,11/1/2023 7:16,11/1/2023 8:22,3069523288,Terrapin Design Studio,api,9.33 USD,4.75 USD,0.00 USD,14.08,USD,27.97 USD,Madison,WI,53704,USPS,
5874055.217,fulfilled,11/2/2023 2:01,11/2/2023 3:11,3070505856,Higher Ed Threads,api,11.22 USD,5.19 USD,0.00 USD,16.41,USD,33.62 USD,Grand rapids,OH,43522,USPS,
5724648.566,fulfilled,11/2/2023 5:54,11/2/2023 7:06,3062236135,Terrapin Design Studio,api,9.33 USD,4.75 USD,0.00 USD,14.08,USD,33.65 USD,Aloha,OR,97078,USPS,
5874055.218,fulfilled,11/3/2023 0:41,11/3/2023 1:53,3063312727,Higher Ed Threads,api,10.34 USD,4.75 USD,0.00 USD,15.09,USD,33.15 USD,Louisville,KY,40213,USPS,
5874055.219,fulfilled,11/3/2023 20:32,11/3/2023 21:43,3072581392,Higher Ed Threads,api,9.33 USD,4.75 USD,0.00 USD,14.08,USD,27.97 USD,Franklin Furnace,OH,45629,USPS,
5874055.22,fulfilled,11/3/2023 23:22,11/4/2023 0:34,3064490617,Higher Ed Threads,api,11.22 USD,5.19 USD,0.00 USD,16.41,USD,34.08 USD,Richmond Heights,MO,63117,USPS,
5724648.567,fulfilled,11/4/2023 20:18,11/4/2023 21:27,3065388655,Terrapin Design Studio,api,11.22 USD,5.19 USD,0.00 USD,16.41,USD,36.82 USD,Irwin,PA,15642,USPS,
5874055.221,fulfilled,11/5/2023 3:46,11/5/2023 4:54,3074380220,Higher Ed Threads,api,9.33 USD,4.75 USD,0.00 USD,14.08,USD,31.47 USD,Greenwich,CT,6831,USPS,
5724648.568,fulfilled,11/6/2023 0:43,11/6/2023 1:55,3075715548,Terrapin Design Studio,api,24.70 USD,8.49 USD,0.00 USD,33.19,USD,57.44 USD,Liverpool,NY,13090,DHL_eCommerce_Expedited,
5724648.569,fulfilled,11/7/2023 2:23,11/7/2023 3:36,3068594971,Terrapin Design Studio,api,9.33 USD,4.75 USD,0.00 USD,14.08,USD,33.73 USD,SAN JOSE,CA,95125-1726,USPS,
5874055.222,fulfilled,11/7/2023 15:38,11/7/2023 16:41,3077765846,Higher Ed Threads,api,9.33 USD,4.75 USD,0.00 USD,14.08,USD,28.50 USD,TUALATIN,OR,97062,USPS,
5874055.223,fulfilled,11/7/2023 15:38,11/7/2023 16:41,3069103339,Higher Ed Threads,api,12.13 USD,4.75 USD,0.00 USD,16.88,USD,34.08 USD,Franklin,MA,2038,USPS,
5724648.57,fulfilled,11/8/2023 1:12,11/8/2023 2:22,3078343752,Terrapin Design Studio,api,12.13 USD,4.75 USD,0.00 USD,16.88,USD,30.38 USD,Marietta,GA,30064,USPS,
5874055.224,fulfilled,11/9/2023 19:06,11/9/2023 20:14,3072017201,Higher Ed Threads,api,9.33 USD,4.75 USD,0.00 USD,14.08,USD,25.32 USD,BOYCE,LA,71409,USPS,
5724648.571,fulfilled,11/9/2023 20:07,11/9/2023 21:10,3080810244,Terrapin Design Studio,api,9.78 USD,4.75 USD,0.00 USD,14.53,USD,31.97 USD,Evans City,PA,16033,USPS,
5724648.572,fulfilled,11/10/2023 1:50,11/10/2023 3:11,3081233492,Terrapin Design Studio,api,11.22 USD,5.19 USD,0.00 USD,16.41,USD,28.79 USD,Pelham,AL,35124,USPS,
5874055.225,fulfilled,11/10/2023 3:40,11/10/2023 4:53,3081294950,Higher Ed Threads,api,31.20 USD,13.24 USD,0.00 USD,44.44,USD,85.47 USD,Greenwich,CT,06831-2617,DHL_eCommerce_Expedited,
5724648.573,fulfilled,11/10/2023 4:42,11/10/2023 5:55,3081484736,Terrapin Design Studio,api,24.68 USD,9.94 USD,0.00 USD,34.62,USD,75.76 USD,Ooltewah,TN,37363-7191,USPS,
5874055.226,fulfilled,11/10/2023 17:59,11/10/2023 19:07,3081945526,Higher Ed Threads,api,11.16 USD,5.19 USD,0.00 USD,16.35,USD,29.00 USD,Monticello,IL,61856-1102,USPS,
5874055.227,fulfilled,11/10/2023 20:51,11/10/2023 22:06,3073582503,Higher Ed Threads,api,9.33 USD,4.75 USD,0.00 USD,14.08,USD,35.94 USD,Eugene,OR,97401,USPS,
5874055.228,fulfilled,11/10/2023 20:51,11/10/2023 22:06,3082165302,Higher Ed Threads,api,9.33 USD,4.75 USD,0.00 USD,14.08,USD,34.48 USD,Chesterfield,NJ,8515,USPS,
5724648.574,fulfilled,11/11/2023 6:28,11/11/2023 7:33,3082839642,Terrapin Design Studio,api,21.87 USD,8.49 USD,0.00 USD,30.36,USD,48.08 USD,Beverly,MA,1915,DHL_eCommerce_Expedited,
5724648.575,fulfilled,11/11/2023 15:04,11/11/2023 16:12,3074478003,Terrapin Design Studio,api,15.18 USD,4.75 USD,0.00 USD,19.93,USD,41.28 USD,SAINT PETERS,MO,63376,USPS,
5724648.576,fulfilled,11/12/2023 19:46,11/12/2023 21:00,3085155330,Terrapin Design Studio,api,11.16 USD,5.19 USD,0.00 USD,16.35,USD,26.92 USD,Haverford,PA,19041,USPS,
5874055.229,fulfilled,11/12/2023 21:38,11/12/2023 22:41,3076377671,Higher Ed Threads,api,21.87 USD,8.49 USD,0.00 USD,30.36,USD,51.14 USD,LONGMONT,CO,80503-4127,DHL_eCommerce_Expedited,
5724648.577,fulfilled,11/14/2023 0:31,11/14/2023 1:45,3078178639,Terrapin Design Studio,api,9.33 USD,4.75 USD,0.00 USD,14.08,USD,33.73 USD,Renton,WA,98057,USPS,
5874055.23,fulfilled,11/14/2023 2:24,11/14/2023 3:36,3078317409,Higher Ed Threads,api,11.04 USD,4.75 USD,0.00 USD,15.79,USD,32.32 USD,Polk,OH,44866,USPS,
5724648.578,fulfilled,11/14/2023 3:25,11/14/2023 4:35,3078387537,Terrapin Design Studio,api,11.04 USD,4.75 USD,0.00 USD,15.79,USD,34.29 USD,Cumming,GA,30041,USPS,
5874055.231,fulfilled,11/16/2023 1:15,11/16/2023 2:24,3081136283,Higher Ed Threads,api,9.33 USD,4.75 USD,0.00 USD,14.08,USD,33.72 USD,Palm Harbor,FL,34686,USPS,
5724648.579,fulfilled,11/16/2023 8:17,11/16/2023 9:26,3090577012,Terrapin Design Studio,api,18.43 USD,4.75 USD,0.00 USD,23.18,USD,39.15 USD,Los Angeles,CA,90049,USPS,
5724648.58,fulfilled,11/16/2023 16:57,11/16/2023 18:10,3090975994,Terrapin Design Studio,api,9.33 USD,4.75 USD,0.00 USD,14.08,USD,25.47 USD,Clive,IA,50325,USPS,
5874055.232,fulfilled,11/17/2023 0:20,11/17/2023 1:36,3082422373,Higher Ed Threads,api,11.67 USD,4.75 USD,0.00 USD,16.42,USD,21.57 USD,MCKINNEY,TX,75071,USPS,
5874055.233,fulfilled,11/17/2023 3:14,11/17/2023 4:24,3082794961,Higher Ed Threads,api,9.33 USD,4.75 USD,0.00 USD,14.08,USD,31.47 USD,Ridley Park,PA,19078,USPS,
5874055.234,fulfilled,11/17/2023 20:35,11/17/2023 21:45,3083612503,Higher Ed Threads,api,13.66 USD,4.75 USD,0.00 USD,18.41,USD,24.88 USD,SARATOGA SPRINGS,NY,12866,USPS,
5874055.235,fulfilled,11/18/2023 2:22,11/18/2023 3:34,3093363844,Higher Ed Threads,api,11.04 USD,4.75 USD,0.00 USD,15.79,USD,28.65 USD,Colchester,VT,5446,USPS,
5874055.236,fulfilled,11/18/2023 2:22,11/18/2023 3:34,3093280776,Higher Ed Threads,api,9.33 USD,4.75 USD,0.00 USD,14.08,USD,26.52 USD,Youngsville,PA,16371,USPS,
5724648.581,fulfilled,11/18/2023 3:37,11/18/2023 4:44,3093450438,Terrapin Design Studio,api,12.16 USD,4.75 USD,0.00 USD,16.91,USD,38.76 USD,Las Vegas,NV,89145,USPS,
5724648.582,fulfilled,11/18/2023 15:11,11/18/2023 16:22,3093996718,Terrapin Design Studio,api,9.33 USD,4.75 USD,0.00 USD,14.08,USD,28.58 USD,Savannah,GA,31406,USPS,
5874055.237,fulfilled,11/18/2023 16:50,11/18/2023 18:11,3084870089,Higher Ed Threads,api,9.33 USD,4.75 USD,0.00 USD,14.08,USD,34.08 USD,Arlington,VA,22207,USPS,
5874055.239,fulfilled,11/18/2023 22:37,11/18/2023 23:48,3094459140,Higher Ed Threads,api,11.22 USD,5.19 USD,0.00 USD,16.41,USD,36.82 USD,WEST COLUMBIA,SC,29169,USPS,
5874055.238,fulfilled,11/18/2023 22:37,11/18/2023 23:47,3085575195,Higher Ed Threads,api,9.33 USD,4.75 USD,0.00 USD,14.08,USD,26.95 USD,Newington,CT,6111,USPS,
5874055.24,fulfilled,11/19/2023 1:31,11/19/2023 2:46,3085744847,Higher Ed Threads,api,9.33 USD,4.75 USD,0.00 USD,14.08,USD,30.21 USD,COVINGTON,WA,98042,USPS,
5874055.241,fulfilled,11/19/2023 1:31,11/19/2023 2:48,3094862398,Higher Ed Threads,api,4.37 USD,4.79 USD,0.00 USD,9.16,USD,15.00 USD,Fort Wright,KY,41011,USPS,
5874055.242,fulfilled,11/19/2023 4:25,11/19/2023 5:34,3095029266,Higher Ed Threads,api,9.33 USD,4.75 USD,0.00 USD,14.08,USD,30.76 USD,WYOMING,NY,14591,USPS,
5874055.243,fulfilled,11/19/2023 16:00,11/19/2023 17:16,3095675348,Higher Ed Threads,api,11.07 USD,5.19 USD,0.00 USD,16.26,USD,29.00 USD,Chicago,IL,60630-1041,USPS,
5724648.583,fulfilled,11/19/2023 17:15,11/19/2023 18:26,3095672878,Terrapin Design Studio,api,21.87 USD,8.49 USD,0.00 USD,30.36,USD,45.22 USD,Chicago,IL,60630-1041,DHL_eCommerce_Expedited,
5724648.584,fulfilled,11/19/2023 23:02,11/20/2023 0:13,3087145943,Terrapin Design Studio,api,37.32 USD,11.95 USD,0.00 USD,49.27,USD,93.67 USD,Fairport,NY,14450,DHL_eCommerce_Expedited,
5874055.244,fulfilled,11/20/2023 0:42,11/20/2023 1:58,3087369687,Higher Ed Threads,api,9.33 USD,4.75 USD,0.00 USD,14.08,USD,31.97 USD,Fort collins,CO,80528-8897,USPS,
5874055.246,fulfilled,11/20/2023 3:37,11/20/2023 4:42,3096694834,Higher Ed Threads,api,12.16 USD,4.75 USD,0.00 USD,16.91,USD,34.41 USD,MOUNTAIN VIEW,CA,94041,USPS,
5874055.245,fulfilled,11/20/2023 3:37,11/20/2023 4:41,3096718454,Higher Ed Threads,api,11.07 USD,5.19 USD,0.00 USD,16.26,USD,31.75 USD,Wilmington,DE,19804,USPS,
5724648.585,fulfilled,11/20/2023 4:18,11/20/2023 4:20,-,Terrapin Design Studio,manual,29.66 USD,8.49 USD,3.16 USD,41.31,USD,49.43 USD,Fort Collins,CO,80525,DHL_eCommerce_Expedited,
5874055.247,fulfilled,11/20/2023 6:30,11/20/2023 7:43,3096990666,Higher Ed Threads,api,9.33 USD,4.75 USD,0.00 USD,14.08,USD,31.97 USD,GOOSE CREEK,SC,29445,USPS,
5724648.586,fulfilled,11/20/2023 7:44,11/20/2023 8:53,3096997140,Terrapin Design Studio,api,21.87 USD,8.49 USD,0.00 USD,30.36,USD,58.00 USD,WASHINGTON,DC,20003-4860,DHL_eCommerce_Expedited,
5874055.248,fulfilled,11/20/2023 15:12,11/20/2023 16:26,3088084567,Higher Ed Threads,api,8.74 USD,4.86 USD,0.00 USD,13.6,USD,30.00 USD,Key West,FL,33040,USPS,
5724648.587,fulfilled,11/20/2023 22:15,11/20/2023 23:25,3088863951,Terrapin Design Studio,api,9.33 USD,4.75 USD,0.00 USD,14.08,USD,31.05 USD,Austin,TX,78704,USPS,
5724648.588,fulfilled,11/20/2023 22:15,11/20/2023 23:25,3098126536,Terrapin Design Studio,api,9.33 USD,4.75 USD,0.00 USD,14.08,USD,34.42 USD,Glastonbury,CT,6033,USPS,
5874055.249,fulfilled,11/21/2023 23:12,11/22/2023 2:23,3090758849,Higher Ed Threads,api,22.22 USD,9.50 USD,0.00 USD,31.72,USD,50.98 USD,Syracuse,NY,13224,USPS,
5724648.589,fulfilled,11/22/2023 0:26,11/22/2023 3:14,3090687901,Terrapin Design Studio,api,13.61 USD,4.75 USD,0.00 USD,18.36,USD,34.29 USD,Downingtown,PA,19335,USPS,
5724648.59,fulfilled,11/22/2023 14:58,11/22/2023 16:40,3091526809,Terrapin Design Studio,api,9.33 USD,4.75 USD,0.00 USD,14.08,USD,31.47 USD,Chesterfield,VA,23832,USPS,
5874055.25,fulfilled,11/23/2023 21:48,11/23/2023 22:57,3093606001,Higher Ed Threads,api,9.33 USD,4.75 USD,0.00 USD,14.08,USD,33.73 USD,Chapel Hill,NC,27516,USPS,
5724648.591,fulfilled,11/24/2023 1:55,11/24/2023 3:15,3103066638,Terrapin Design Studio,api,9.33 USD,4.75 USD,0.00 USD,14.08,USD,21.50 USD,ELK RIVER,MN,55330,USPS,
5724648.592,fulfilled,11/24/2023 16:31,11/24/2023 17:47,3104087130,Terrapin Design Studio,api,20.12 USD,9.50 USD,0.00 USD,29.62,USD,62.71 USD,LA GRANGE,IL,60525,USPS,
5874055.251,fulfilled,11/24/2023 18:14,11/24/2023 19:28,3104182276,Higher Ed Threads,api,9.33 USD,4.75 USD,0.00 USD,14.08,USD,21.47 USD,ALEXANDRIA,VA,22307,USPS,
5724648.594,fulfilled,11/24/2023 19:26,11/24/2023 21:29,3095346661,Terrapin Design Studio,api,9.33 USD,4.75 USD,0.00 USD,14.08,USD,29.93 USD,Memphis,TN,38111,USPS,
5724648.593,fulfilled,11/24/2023 19:26,11/24/2023 21:29,3104475054,Terrapin Design Studio,api,9.33 USD,4.75 USD,0.00 USD,14.08,USD,25.32 USD,Janesville,WI,53548-3553,USPS,
5874055.252,fulfilled,11/25/2023 0:04,11/25/2023 1:19,3096132971,Higher Ed Threads,api,9.33 USD,4.75 USD,0.00 USD,14.08,USD,31.47 USD,Avon lake,OH,44012,USPS,
5874055.253,fulfilled,11/25/2023 0:04,11/25/2023 1:19,3105180364,Higher Ed Threads,api,9.33 USD,4.75 USD,0.00 USD,14.08,USD,31.47 USD,Boulder,CO,80302-5638,USPS,
5724648.595,fulfilled,11/25/2023 1:16,11/25/2023 1:22,3105318950,Terrapin Design Studio,api,11.04 USD,4.75 USD,0.00 USD,15.79,USD,31.90 USD,Eldersburg,MD,21784,USPS,
5874055.254,fulfilled,11/25/2023 2:59,11/25/2023 4:10,3105752436,Higher Ed Threads,api,9.33 USD,4.75 USD,0.00 USD,14.08,USD,27.40 USD,Lawrenceville,NJ,8648,USPS,
5724648.596,fulfilled,11/25/2023 4:10,11/25/2023 5:27,3105576682,Terrapin Design Studio,api,12.13 USD,4.75 USD,0.00 USD,16.88,USD,34.08 USD,Quakertown,PA,18951,USPS,
5874055.255,fulfilled,11/25/2023 5:55,11/25/2023 7:05,3096872107,Higher Ed Threads,api,18.66 USD,7.15 USD,0.00 USD,25.81,USD,55.08 USD,cleves,OH,45002-1394,USPS,
5724648.597,fulfilled,11/25/2023 7:05,11/25/2023 8:15,3106007116,Terrapin Design Studio,api,9.33 USD,4.75 USD,0.00 USD,14.08,USD,29.53 USD,Amsterdam,NY,12010,USPS,
5724648.598,fulfilled,11/25/2023 18:47,11/25/2023 19:51,3106958914,Terrapin Design Studio,api,9.33 USD,4.75 USD,0.00 USD,14.08,USD,22.03 USD,Dallas,TX,75244,USPS,
5724648.599,fulfilled,11/26/2023 3:33,11/26/2023 5:04,3099013645,Terrapin Design Studio,api,9.33 USD,4.75 USD,0.00 USD,14.08,USD,31.47 USD,South Plainfield,NJ,7080,USPS,
5724648.6,fulfilled,11/26/2023 15:14,11/26/2023 16:21,3108697470,Terrapin Design Studio,api,11.07 USD,5.19 USD,0.00 USD,16.26,USD,33.65 USD,huntington,NY,11743-2945,USPS,
5874055.256,fulfilled,11/26/2023 16:58,11/26/2023 18:02,3108806122,Higher Ed Threads,api,9.33 USD,4.75 USD,0.00 USD,14.08,USD,36.82 USD,Needham,MA,2494,USPS,
5724648.601,fulfilled,11/26/2023 21:05,11/26/2023 22:24,3109251978,Terrapin Design Studio,api,9.33 USD,4.75 USD,0.00 USD,14.08,USD,27.97 USD,Tiverton,RI,02878-1407,USPS,
5874055.257,fulfilled,11/26/2023 22:50,11/27/2023 0:08,3100724801,Higher Ed Threads,api,12.16 USD,4.75 USD,0.00 USD,16.91,USD,32.43 USD,Morrison,CO,80465-2176,USPS,
5724648.602,fulfilled,11/27/2023 2:57,11/27/2023 4:13,3101409303,Terrapin Design Studio,api,18.66 USD,7.15 USD,0.00 USD,25.81,USD,58.72 USD,Pelham,NY,10803-2512,USPS,
5874055.258,fulfilled,11/27/2023 4:41,11/27/2023 5:53,3101472725,Higher Ed Threads,api,23.96 USD,8.49 USD,0.00 USD,32.45,USD,55.53 USD,Long Beach,CA,90803,DHL_eCommerce_Expedited,
5724648.603,fulfilled,11/27/2023 5:54,11/27/2023 7:03,3101524045,Terrapin Design Studio,api,17.52 USD,4.75 USD,0.00 USD,22.27,USD,43.80 USD,Middletown,DE,19709,USPS,
5724648.604,fulfilled,11/27/2023 17:38,11/27/2023 20:05,3111449250,Terrapin Design Studio,api,9.97 USD,4.75 USD,0.00 USD,14.72,USD,41.28 USD,New richmond,OH,45157,USPS,
5874055.259,fulfilled,11/27/2023 19:21,11/27/2023 21:58,3111559606,Higher Ed Threads,api,9.33 USD,4.75 USD,0.00 USD,14.08,USD,31.47 USD,DUBLIN,OH,43017,USPS,
5874055.26,fulfilled,11/27/2023 22:17,11/28/2023 0:37,3112011426,Higher Ed Threads,api,21.87 USD,8.49 USD,0.00 USD,30.36,USD,54.40 USD,Loveland,CO,80537,DHL_eCommerce_Expedited,
5874055.261,fulfilled,11/28/2023 4:18,11/28/2023 7:02,3113083810,Higher Ed Threads,api,9.33 USD,4.75 USD,0.00 USD,14.08,USD,22.03 USD,Midlothian,VA,23113,USPS,
5874055.262,fulfilled,11/28/2023 4:19,11/28/2023 7:02,3104426847,Higher Ed Threads,api,9.33 USD,4.75 USD,0.00 USD,14.08,USD,30.76 USD,CHICAGO,IL,60640-7921,USPS,
5874055.263,fulfilled,11/28/2023 18:51,11/28/2023 20:12,3105529143,Higher Ed Threads,api,21.87 USD,8.49 USD,0.00 USD,30.36,USD,54.40 USD,Mountain Top,PA,18707,DHL_eCommerce_Expedited,
5874055.264,fulfilled,11/28/2023 18:51,11/28/2023 20:12,3114240582,Higher Ed Threads,api,9.33 USD,4.75 USD,0.00 USD,14.08,USD,24.70 USD,monticello,IL,61856,USPS,
5874055.265,fulfilled,11/28/2023 18:51,11/28/2023 20:12,3105445307,Higher Ed Threads,api,9.33 USD,4.75 USD,0.00 USD,14.08,USD,22.03 USD,UNIVERSITY PARK,PA,16802,USPS,
5724648.605,fulfilled,11/28/2023 20:04,11/28/2023 21:13,3105843275,Terrapin Design Studio,api,12.91 USD,4.75 USD,0.00 USD,17.66,USD,45.60 USD,East Norwich,NY,11732,USPS,
5874055.267,fulfilled,11/29/2023 3:40,11/29/2023 4:51,3115263142,Higher Ed Threads,api,11.22 USD,5.19 USD,0.00 USD,16.41,USD,34.48 USD,Jacksonville,FL,32246,USPS,
5874055.266,fulfilled,11/29/2023 3:40,11/29/2023 4:51,3106438137,Higher Ed Threads,api,9.33 USD,4.75 USD,0.00 USD,14.08,USD,28.79 USD,Downingtown,PA,19335,USPS,
5724648.607,fulfilled,11/29/2023 16:37,11/29/2023 17:49,3107325823,Terrapin Design Studio,api,9.33 USD,4.75 USD,0.00 USD,14.08,USD,31.97 USD,Galesburg,MI,49053,USPS,
5724648.606,fulfilled,11/29/2023 16:37,11/29/2023 17:46,3107223035,Terrapin Design Studio,api,11.16 USD,5.19 USD,0.00 USD,16.35,USD,34.08 USD,LOWELL,AR,72745,USPS,
5724648.608,fulfilled,11/29/2023 16:37,11/29/2023 17:46,3107409201,Terrapin Design Studio,api,10.37 USD,4.75 USD,0.00 USD,15.12,USD,33.26 USD,Zanesville,OH,43701,USPS,
5724648.609,fulfilled,11/30/2023 1:26,11/30/2023 2:37,3108413371,Terrapin Design Studio,api,9.33 USD,4.75 USD,0.00 USD,14.08,USD,21.47 USD,Pontiac,MI,48341,USPS,
5724648.61,fulfilled,11/30/2023 4:23,11/30/2023 5:38,3117351014,Terrapin Design Studio,api,20.40 USD,9.94 USD,0.00 USD,30.34,USD,62.87 USD,SCITUATE,MA,02066-4549,USPS,
5724648.611,fulfilled,11/30/2023 16:10,11/30/2023 17:23,3109407743,Terrapin Design Studio,api,12.13 USD,4.75 USD,0.00 USD,16.88,USD,31.75 USD,Waynesville,NC,28785,USPS,
5874055.268,fulfilled,11/30/2023 20:50,11/30/2023 22:10,3109969525,Higher Ed Threads,api,11.04 USD,4.75 USD,0.00 USD,15.79,USD,44.82 USD,Portland,OR,97225,USPS,
5874055.269,fulfilled,11/30/2023 20:50,11/30/2023 22:09,3109718733,Higher Ed Threads,api,9.33 USD,4.75 USD,0.00 USD,14.08,USD,26.95 USD,RANDOLPH,NJ,7869,,