ITEM:,PRICE:,DATE:,ORDER #:,NET:,COMMENT:,STARS 0- 5:,"CATEGORY:
 Clothing (C)
 Shoes (S)
 Accessories (A)","MEN (M), WOMAN (W)",
NWT Womans Lucky BLK Suede Boots,$30,12/30/2017,5866a19f625850dc16226e79,$24,These Boots Are Beautiful and exactly how she described in her post! I love them,5/5,S,W,
"Bundle:
NWT anthro travis cargo jacket; NEW anthro navy fedora OS","$35, $19",8/3/2017,598101ad31baf2e23a0b07dd,$36.72,N/A,N/A,"C, A ",W,
Giraffe Print Shirtdress 14 Navy by Alfani,$15.00,7/31/2017,597fdeafa41b3fbbba1b873e,$12.00,Super cute in great condition and wrapped so nicely this seller rocks :),5/5,"C, A ",W,
Levis Mid Rise Black Skinny Jeans Woman's 12,$7.05,7/22/2017,5973ae18c25231ba7e185eb5,$7.05,"I like them a lot! A bit tight around my waist, but, that's my problem to fix:)",5/5,C,W,
Free People Dreamchaser Light Peach Dress,$15.00,7/22/2017,59738025001c7543a70104ef,$12.00,N/A,5/5,C,W,
Boho Ivory Lace Bell Sleeve Shift Dress,$80,7/22/2017,5973800e010c48c4c8010375,$64.00,Love it!! Thank you so much.,5/5,C,W,
NEW Free People Suede Animal Print Espadrille Shoe,$35,6/13/2017,59402a1cd8ff090dfa11ba34,$28.00,N/A,5/5,S,W,
NIKE bikini XL Top M Bottom Small Stain And Flaw,$9.00,6/10/2017,593c830a0c2b586603185796,$6.05,N/A,5/5,C,W,
NEW KORS MK Knee High Carmal Suede Platform Boots,$75.00,5/14/2017,5917eada88b3071155768eb2,$60.00,N/A,N/A,S,W,
The Original Dr Schools Blue Exercise Sandal Wood,$39.00,5/3/2017,590a1ab0a8ecb599c90d1d76,$31.20,Love my clogs thankyou! Fast shipping,5/5,S,W,
ANAC Romantic Eastern Boho Bell Sleeve Mesh Dress,$18.00,4/30/2017,59068e8942673740636b006a,$14.40,N/A,5/5,C,W,
NWT Men Blue and Brown Reef Leather Sandal,$24.00,4/16/2017,58f408418031c8ad436994ce,$19.20,"Excellent seller. Quick shipping, great product and personalized touch! Thank you 😊",5/5,S,M,
LOFT Blue Print Button Down Back Sleeveless Blouse,$9.00,4/13/2017,58ef88d81345e09839157482,$6.05,N/A,5/5,C,W,
JCREW Yellow Halter Front Zipper Onepeice Swimsuit,$15.00,4/12/2017,585d2d1a31baf22b5a58b9e0,$12.00,Thank you so so much!!! It was such a pleasure buying from you. My swimsuit fit PERFECTLY. ❤️❤️❤️,5/5,C,W,
Authentic Gucci Horsebit Shoes Black High Heels,$44.00,4/11/2017,58ed25860122839dc61e2d46,$35.20,N/A,5/5,S,W,
Authentic Gucci 11/12.2 Gold Bezel Watch IOB,$150.00,4/7/2017,58e7914badce92bb7a0cf94d,$120.00,❤️❤️❤️my watch!!! @windandflower thanks!!,5/5,A,W,
AG The Matchbox Slim Straight Men's Jeans 31 NWT,$85.00,4/3/2017,58e2994ed142c375926692de,$68.00,N/A,5/5,C,M,
Kendra Scott Beatrice Necklace White Banded Agate,$65.00,3/31/2017,58de7332d31164ea8915d3ec,$52.00,N/A,5/5,A,W,
Rag & Bone Mens 33 Grey Slim Leg Button Fly Jeans,$60.00,3/29/2017,58dc303ab88c561a0e04f5eb,$48.00,N/A,5/5,C,M,
Victoria's Secret VERY SEXY Animal Lace Bodysuit M,$22.00,3/28/2017,58db3e8fa8ecb5c003b128e6,$17.60,N/A,5/5,C,W,
Levis Denim Jacket Vintage Wash Button Up Womans,$9.00,3/26/2017,58d88c1f8031c80c7f6880c0,$22.40,N/A,5/5,C,W,
Cole Haan Womans Bradshaw Wedge Cheetah,$75.00,3/24/2017,58d5eea0f76e65dc6228911a,$75.00,N/A,5/5,S,W,
NWOT Badgley Mischka Bronze Peep Toe Jewl Pump,$50.00,3/24/2017,58d53648ca5c4d42a7136933,$40.00,N/A,5/5,S,W,
TOMS Women's Natural Cork Wedge Strappy Sandal,$35.00,3/24/2017,58c21ede6d72fbba8d0c9b87,$28.00,N/A,5/5,S,W,
Odette Cosover Silver Hippie Boho Festival Ring,$10.00,3/22/2017,58d33a3120b6870cff2dea52,$7.05,N/A,5/5,A,W,
100% Linen Sleeveless Cream Tank Top by Cut Lose,$12.00,3/21/2017,58d148ab012283e2deb7056c,$9.05,N/A,5/5,C,W,
Merona Medallion Maroon Halter XL Keyhole Swimsuit,$14.00,3/21/2017,58d13b3e09e9536acab58810,$11.05,N/A,5/5,C,W,
Levis Woman's Denim Mom Jean Light Wash Shorts,$23.00,3/19/2017,58cedb3509e9531fc7716eee,$18.40,They are absolutely amazing! I love them😍,5/5,C,W,
NWOT Steve Madden Lindzie Leather Pointed Boots,$17.00,3/19/2017,58cea1bb8031c856f56a2014,$13.60,N/A,5/5,S,W,
Bundle:Anthro Deletta Blue Pleated Peplum Keyhole Tank M; Kendra Scott Beth Necklace Iridescent White Agate ,"$28.00, $60.00",3/19/2017,58ce93d5d311648e9e6869d1,$51.20,N/A,5/5,"C, C",W,
"Bundle: Anthro One September 3/4 Sleeve Stripe Button Top;
NWOT Marina West Zebra Ring Monokini Swimsuit M","$15, $22",3/16/2017,57a9d3cd31baf2d23500d394,$24.00,So happy with my purchase great seller,5/5,"C, C",W,
2 Brooks Brothers Mens L Linen Button Down Shirts,$34.00,3/16/2017,58cadfc26551456ecc222764,$27.20,thanks for the note It was a Nice Touch,5/5,C,M,
Lucky Womans Embroidered Paisley White Tank Top,$34.00,3/15/2017,58c9d6d688b3070deb033ea7,$9.05,N/A,5/5,C,W,
Vintage Free People Floral Jumper Lace Up Sundress,$34.00,3/15/2017,58c9af7488b3076abb27b988,$20.00,N/A,5/5,C,W,
TOMS Men's 9 Brogue Leather Wingtip Quilted Boot,$34.00,3/14/2017,58bf45c2c22a9c44d2032ad0,$44,N/A,N/A,S,M,
NWT Lane Bryant 18/20W Sexy Corset Lace Top,$8,3/14/2017,58c854c0d3116406bd12f1fc,$5.05,N/A,5/5,C,M,
Jeffrey Campbell Gray Snake-Print Platform Wedge,$12,3/13/2017,58c71826adce92ea3a56f11c,$12,N/A,5/5,S,W,
New Tommy Bahama Modest One Peice Swimsuit 12,$26.00,3/11/2017,58c4784dca5c4d40d00634e0,$20.80,N/A,5/5,C,W,
NWT Nike Dri-FIT Cool Stripe Short Sleeve Shirt L,$15.00,3/11/2017,58c46051d8ff09c6e10354fe,12,N/A,5/5,C,M,
NWOT Marc Jacobs. Swim Galactic Scuba Jacky Tornado L,$55.00,3/10/2017,58c304c5f76e6547ee2058aa,$44.00,N/A,5/5,C,W,
NWT Theory One Size White Soft Stretch Tank Shirt,$28.00,3/9/2017,58c1e8c647b2f3cece10dc29,$22.40,N/A,5/5,C,W,
Rebecca Minkoff Lindy d'Orsay Ankle Wrap Sandal,$45.00,3/8/2017,58c0ce3b8031c815aa06967b,$36.00,N/A,5/5,S,W,
Vintage Salvatore Ferragamo Women's Leather Loafer,$50.00,3/8/2017,58c0574e655145b30e263688,$40,N/A,5/5,S,W,
BOTH Free People S Drifter Dresses Ivry and Purple,$34.00,3/8/2017,58c013ad09e9530ff41c91f1,$27.20,N/A,5/5,C,W,
"Bundke:Kendra Scott Beatrice Necklace White Banded Agate,
 Kendra Scott Berniece Statement Necklace Rose Gold,
 New Kendra Scott Cheska Rosegold Bolo Necklace","$74, $107, $95",3/7/2017,58bf2be3d142c32500c36f2f,$152.00,Beautifully packaged with a sweet note! Thank you (name removed)!,5/5,"A, A, A",W,
New Kendra Scott Berniece Statement Necklace,$100.00,3/6/2017,58bda3b02e39e7fbbf0a5813,$80.00,Super quick delivery and very nice piece as described,5/5,A,W,
Authentic Bottega Veneta Vintage Large Suede Hobo,$75.00,3/5/2017,58bcdcb5ca5c4dadb2794ed0,$60.00,So sorry for the delay. I am new to poshmark. I am in LOVE with this purse. It was wrapped with a thank you note enclosed. These are small details but mean the world to me. It made my purchase that much sweeter because it was presented beautifully by a appreciative and warm seller.,5/5,A,W,
"Custom Bundle Combined Price: Tory Burch Leather Wood Pattern High Heal Shoe, Talbots 100% Cotton Size 8 Navy Crochet Top Vneck",$39.00,3/5/2017,58bcd4288f005349c72ccdca,$31.20,N/A,5/5,"S, C
",W,
"Bundle: Ezekiel Mens XL Canopy Button Down Woven Shirt, Calvin Klein Blk Silver Platform High Heel Shoe, Calvin Klein Womans Black Button Down Crochet Top","$19, $25, $25",3/4/2017,58bb2a0a88b30741e53e0659,$35.20,N/A,5/5,"C, S, C ",W,"M, W, W
 

 

 

 

 

"
High Waist Mom Levis Jean Demin Shorts Med Wash,$19.00,3/3/2017,58b9c5ceca5c4d5b561206d2,$15.20,N/A,5/5,C,W,
NWOT Black Cage Back Strappy Onepeice Swimsuit unbranded,$15.00,3/1/2017,58b7aa4bb73984a875060fa5,$12.00,N/A,5/5,C,W,
Michael by MK Woman's 3X Animal Print Wrap Dress,$20.00,2/28/2017,58b62b66d3116448d8851b02,$16.00,"Love the dress! It is perfect, thank you!",5/5,C,W,
Kendra Scott Beth Necklace Iridescent White Agate,$45.00,2/28/2017,58b5afa322172d6127755a42,$36.00,N/A,5/5,A,W,
Torrid 4 Plaid Bliss Teal Black Button Shirtdress,$24.00,2/27/2017,58b4e427ca5c4d74385cfb70,$19.20,N/A,5/5,C,W,
EUC Michael MK Jet Set Sig. Tote Baigie Vanilla,$66.00,2/27/2017,58b46d4d8031c87d794d0db0,$52.80,N/A,5/5,A,W,