outcome_id,outcome_date,outcome_price_total_buy,outcome_details_quantity,outcome_details_weight,product_id,product_code,product_type_id,product_type,product_line_id,product_line,product_colour_id,product_colour,product_stock,product_stock_min,product_estimated_weight,product_total_weight,product_price_buy,product_price_sell,updated_at,deleted_at
2,2021-06-02 00:00:00,11860,48,,169,H61 negra,3,Accessories,7,Fittings,1,Not Applicable,353,0,0,0,1013,3618.92,2023-12-15 19:55:27,
2,2021-06-02 00:00:00,11860,48,,169,H61 negra,3,Accessories,7,Fittings,1,Not Applicable,353,0,0,0,1013,3618.92,2023-12-15 19:55:27,
2,2021-06-02 00:00:00,11860,48,,169,H61 negra,3,Accessories,7,Fittings,1,Not Applicable,353,0,0,0,1013,3618.92,2023-12-15 19:55:27,
2,2021-06-02 00:00:00,11860,1,,88,,3,Accessories,5,Weatherstripping,1,Not Applicable,17,0,0,0,6560,10010,2023-12-15 17:32:23,
2,2021-06-02 00:00:00,11860,1,,88,,3,Accessories,5,Weatherstripping,1,Not Applicable,17,0,0,0,6560,10010,2023-12-15 17:32:23,
2,2021-06-02 00:00:00,11860,1,,88,,3,Accessories,5,Weatherstripping,1,Not Applicable,17,0,0,0,6560,10010,2023-12-15 17:32:23,
3,2021-06-03 00:00:00,4117,1,,86,RULO,3,Accessories,5,Weatherstripping,1,Not Applicable,16,0,0,0,26000,40000,2023-12-15 15:07:18,
4,2021-06-07 00:00:00,3350,15,,528,,3,Accessories,2,Various,1,Not Applicable,239,0,0,0,266,854.41,2023-12-15 12:29:16,
4,2021-06-07 00:00:00,3350,1000,,529,TA45 6X7/16,3,Accessories,10,Screws,1,Not Applicable,36000,0,0,0,8.33,26.48,2023-12-15 12:29:16,
5,2021-06-08 00:00:00,8305,1,2023-05-07 00:00:00,38,3010/00,2,Profile,4,Módena,2,White,131,20,2023-05-07 00:00:00,1065.66,2810.88,7975.72,2023-12-15 12:29:15,
5,2021-06-08 00:00:00,8305,5,,214,T96,3,Accessories,8,Plastics,1,Not Applicable,178,0,0,0,1150,3961.55,2023-12-15 19:15:02,
6,2021-05-17 00:00:00,21004.9,20,,226,,3,Accessories,9,Wheels,1,Not Applicable,0,100,0,0,23,44.28,2023-03-03 16:33:17,2023-03-03 16:33:17
6,2021-05-17 00:00:00,21004.9,20,,226,,3,Accessories,9,Wheels,1,Not Applicable,0,100,0,0,23,44.28,2023-03-03 16:33:17,2023-03-03 16:33:17
6,2021-05-17 00:00:00,21004.9,4,2023-03-02 00:00:00,8,407337,2,Profile,3,Blacksmith,2,White,122,20,2023-05-02 00:00:00,18853606205251,2869.44,7261.22,2023-12-15 20:30:41,
6,2021-05-17 00:00:00,21004.9,4,2023-03-02 00:00:00,8,407337,2,Profile,3,Blacksmith,2,White,122,20,2023-05-02 00:00:00,18853606205251,2869.44,7261.22,2023-12-15 20:30:41,
6,2021-05-17 00:00:00,21004.9,4,2023-03-02 00:00:00,8,407337,2,Profile,3,Blacksmith,2,White,122,20,2023-05-02 00:00:00,18853606205251,2869.44,7261.22,2023-12-15 20:30:41,
6,2021-05-17 00:00:00,21004.9,4,2023-03-02 00:00:00,8,407337,2,Profile,3,Blacksmith,2,White,122,20,2023-05-02 00:00:00,18853606205251,2869.44,7261.22,2023-12-15 20:30:41,
6,2021-05-17 00:00:00,21004.9,4,2023-03-02 00:00:00,6,407306,2,Profile,3,Blacksmith,2,White,201,20,2023-05-02 00:00:00,62029606205251,4320,7261.22,2023-12-15 20:30:41,
6,2021-05-17 00:00:00,21004.9,4,2023-03-02 00:00:00,6,407306,2,Profile,3,Blacksmith,2,White,201,20,2023-05-02 00:00:00,62029606205251,4320,7261.22,2023-12-15 20:30:41,
6,2021-05-17 00:00:00,21004.9,4,2023-03-02 00:00:00,6,407306,2,Profile,3,Blacksmith,2,White,201,20,2023-05-02 00:00:00,62029606205251,4320,7261.22,2023-12-15 20:30:41,
6,2021-05-17 00:00:00,21004.9,4,2023-03-02 00:00:00,6,407306,2,Profile,3,Blacksmith,2,White,201,20,2023-05-02 00:00:00,62029606205251,4320,7261.22,2023-12-15 20:30:41,
6,2021-05-17 00:00:00,21004.9,3,2023-05-02 00:00:00,4,407278,2,Profile,3,Blacksmith,2,White,476,15,2023-05-02 00:00:00,14890460620525,2869.44,7261.22,2023-12-15 20:30:41,
6,2021-05-17 00:00:00,21004.9,3,2023-05-02 00:00:00,4,407278,2,Profile,3,Blacksmith,2,White,476,15,2023-05-02 00:00:00,14890460620525,2869.44,7261.22,2023-12-15 20:30:41,
6,2021-05-17 00:00:00,21004.9,3,2023-05-02 00:00:00,4,407278,2,Profile,3,Blacksmith,2,White,476,15,2023-05-02 00:00:00,14890460620525,2869.44,7261.22,2023-12-15 20:30:41,
6,2021-05-17 00:00:00,21004.9,3,2023-05-02 00:00:00,4,407278,2,Profile,3,Blacksmith,2,White,476,15,2023-05-02 00:00:00,14890460620525,2869.44,7261.22,2023-12-15 20:30:41,
7,2021-06-08 00:00:00,600,2,,242,,3,Accessories,7,Fittings,4,Natural,0,50,0,0,615.28,2795.49,2023-12-15 12:29:15,
8,2021-05-17 00:00:00,834,1,1,24,403776,2,Profile,3,Blacksmith,2,White,737,30,2023-06-01 00:00:00,1015.94,2459.52,7261.22,2023-12-15 20:30:41,
9,2021-05-18 00:00:00,14461.56,2,2023-05-01 00:00:00,42,405572,2,Profile,4,Módena,2,White,559,30,2023-02-01 00:00:00,762.72,2810.88,7975.72,2023-12-15 20:10:23,
9,2021-05-18 00:00:00,14461.56,1,2023-08-03 00:00:00,311,3010/50,2,Profile,4,Módena,2,White,138,5,4,412.34,2810.88,7975.72,2023-12-15 12:34:45,
9,2021-05-18 00:00:00,14461.56,1,2023-05-07 00:00:00,38,3010/00,2,Profile,4,Módena,2,White,131,20,2023-05-07 00:00:00,1065.66,2810.88,7975.72,2023-12-15 12:29:15,
9,2021-05-18 00:00:00,14461.56,1,3.94,39,405421,2,Profile,4,Módena,2,White,323,20,2023-03-04 00:00:00,1327.63,2810.88,7975.72,2023-12-15 12:29:15,
10,2021-05-18 00:00:00,900,2,,279,TEK BOND Transparente,4,Silicones,11,Silicones,1,Not Applicable,383,50,0,0,2167,6950,2023-12-15 17:55:59,
11,2021-05-19 00:00:00,2001-06-01 00:00:00,1,2023-04-02 00:00:00,11,3005/76,2,Profile,3,Blacksmith,2,White,76,0,2.64,238.93,4320,7261.22,2023-12-15 12:29:15,
12,2021-05-19 00:00:00,5504-04-01 00:00:00,1,2023-06-06 00:00:00,72,ADR 66,2,Profile,13,Round 640,2,White,7,20,2023-03-06 00:00:00,53.01,2810.88,4810.88,2023-12-15 12:29:15,
13,2021-06-08 00:00:00,5671-02-01 00:00:00,1,2023-04-02 00:00:00,11,3005/76,2,Profile,3,Blacksmith,2,White,76,0,2.64,238.93,4320,7261.22,2023-12-15 12:29:15,
13,2021-06-08 00:00:00,5671-02-01 00:00:00,1,2023-04-04 00:00:00,292,3005/68,2,Profile,3,Blacksmith,2,White,172,10,2023-05-03 00:00:00,602.56,4320,7261.22,2023-12-15 17:55:58,
14,2021-05-19 00:00:00,350,1,,277,SIKA Negra,4,Silicones,11,Silicones,5,Black,0,100,0,0,0,0,2023-12-15 12:29:15,
15,2021-05-19 00:00:00,23618.88,1,2023-06-06 00:00:00,72,ADR 66,2,Profile,13,Round 640,2,White,7,20,2023-03-06 00:00:00,53.01,2810.88,4810.88,2023-12-15 12:29:15,
15,2021-05-19 00:00:00,23618.88,1,2023-06-06 00:00:00,72,ADR 66,2,Profile,13,Round 640,2,White,7,20,2023-03-06 00:00:00,53.01,2810.88,4810.88,2023-12-15 12:29:15,
15,2021-05-19 00:00:00,23618.88,2,3,29,3005/81,2,Profile,3,Blacksmith,2,White,68,10,2,135.6,2459.52,7261.22,2023-12-15 20:13:56,
15,2021-05-19 00:00:00,23618.88,2,3,29,3005/81,2,Profile,3,Blacksmith,2,White,68,10,2,135.6,2459.52,7261.22,2023-12-15 20:13:56,
15,2021-05-19 00:00:00,23618.88,1,2023-04-02 00:00:00,11,3005/76,2,Profile,3,Blacksmith,2,White,76,0,2.64,238.93,4320,7261.22,2023-12-15 12:29:15,
15,2021-05-19 00:00:00,23618.88,1,2023-04-02 00:00:00,11,3005/76,2,Profile,3,Blacksmith,2,White,76,0,2.64,238.93,4320,7261.22,2023-12-15 12:29:15,
15,2021-05-19 00:00:00,23618.88,1,2.52,12,3005/77,2,Profile,3,Blacksmith,2,White,231,0,2023-05-02 00:00:00,586.82,2459.52,7261.22,2023-12-15 20:26:49,
15,2021-05-19 00:00:00,23618.88,1,2.52,12,3005/77,2,Profile,3,Blacksmith,2,White,231,0,2023-05-02 00:00:00,586.82,2459.52,7261.22,2023-12-15 20:26:49,
15,2021-05-19 00:00:00,23618.88,1,2023-04-03 00:00:00,18,3005/36,2,Profile,3,Blacksmith,2,White,242,0,2023-05-03 00:00:00,907.09,2664.48,7261.22,2023-12-15 14:32:09,
15,2021-05-19 00:00:00,23618.88,1,2023-04-03 00:00:00,18,3005/36,2,Profile,3,Blacksmith,2,White,242,0,2023-05-03 00:00:00,907.09,2664.48,7261.22,2023-12-15 14:32:09,
15,2021-05-19 00:00:00,23618.88,1,2023-04-07 00:00:00,46,405664,2,Profile,4,Módena,2,White,79,0,2023-02-08 00:00:00,662.78,2810.88,7975.72,2023-12-15 19:27:13,
15,2021-05-19 00:00:00,23618.88,1,2023-04-07 00:00:00,46,405664,2,Profile,4,Módena,2,White,79,0,2023-02-08 00:00:00,662.78,2810.88,7975.72,2023-12-15 19:27:13,
16,2021-05-19 00:00:00,5504-04-01 00:00:00,1,2023-06-06 00:00:00,72,ADR 66,2,Profile,13,Round 640,2,White,7,20,2023-03-06 00:00:00,53.01,2810.88,4810.88,2023-12-15 12:29:15,
17,2021-05-19 00:00:00,5671-02-01 00:00:00,1,2023-04-04 00:00:00,292,3005/68,2,Profile,3,Blacksmith,2,White,172,10,2023-05-03 00:00:00,602.56,4320,7261.22,2023-12-15 17:55:58,
17,2021-05-19 00:00:00,5671-02-01 00:00:00,1,2023-04-04 00:00:00,292,3005/68,2,Profile,3,Blacksmith,2,White,172,10,2023-05-03 00:00:00,602.56,4320,7261.22,2023-12-15 17:55:58,
17,2021-05-19 00:00:00,5671-02-01 00:00:00,1,2023-04-02 00:00:00,11,3005/76,2,Profile,3,Blacksmith,2,White,76,0,2.64,238.93,4320,7261.22,2023-12-15 12:29:15,
17,2021-05-19 00:00:00,5671-02-01 00:00:00,1,2023-04-02 00:00:00,11,3005/76,2,Profile,3,Blacksmith,2,White,76,0,2.64,238.93,4320,7261.22,2023-12-15 12:29:15,
18,2021-05-20 00:00:00,15846,2,2023-04-03 00:00:00,18,3005/36,2,Profile,3,Blacksmith,2,White,242,0,2023-05-03 00:00:00,907.09,2664.48,7261.22,2023-12-15 14:32:09,
18,2021-05-20 00:00:00,15846,2,2023-04-03 00:00:00,18,3005/36,2,Profile,3,Blacksmith,2,White,242,0,2023-05-03 00:00:00,907.09,2664.48,7261.22,2023-12-15 14:32:09,
18,2021-05-20 00:00:00,15846,2,2023-01-06 00:00:00,20,403838,2,Profile,3,Blacksmith,2,White,156,5,2023-06-06 00:00:00,1033.88,2459.52,7261.22,2023-12-15 14:32:09,
18,2021-05-20 00:00:00,15846,2,2023-01-06 00:00:00,20,403838,2,Profile,3,Blacksmith,2,White,156,5,2023-06-06 00:00:00,1033.88,2459.52,7261.22,2023-12-15 14:32:09,
19,2021-05-20 00:00:00,37901.2,2,2023-03-02 00:00:00,8,407337,2,Profile,3,Blacksmith,2,White,122,20,2023-05-02 00:00:00,18853606205251,2869.44,7261.22,2023-12-15 20:30:41,
19,2021-05-20 00:00:00,37901.2,2,2023-03-02 00:00:00,8,407337,2,Profile,3,Blacksmith,2,White,122,20,2023-05-02 00:00:00,18853606205251,2869.44,7261.22,2023-12-15 20:30:41,
19,2021-05-20 00:00:00,37901.2,2,2023-03-02 00:00:00,8,407337,2,Profile,3,Blacksmith,2,White,122,20,2023-05-02 00:00:00,18853606205251,2869.44,7261.22,2023-12-15 20:30:41,
19,2021-05-20 00:00:00,37901.2,2,2023-05-02 00:00:00,4,407278,2,Profile,3,Blacksmith,2,White,476,15,2023-05-02 00:00:00,14890460620525,2869.44,7261.22,2023-12-15 20:30:41,
19,2021-05-20 00:00:00,37901.2,2,2023-05-02 00:00:00,4,407278,2,Profile,3,Blacksmith,2,White,476,15,2023-05-02 00:00:00,14890460620525,2869.44,7261.22,2023-12-15 20:30:41,
19,2021-05-20 00:00:00,37901.2,2,2023-05-02 00:00:00,4,407278,2,Profile,3,Blacksmith,2,White,476,15,2023-05-02 00:00:00,14890460620525,2869.44,7261.22,2023-12-15 20:30:41,
19,2021-05-20 00:00:00,37901.2,4,2023-02-04 00:00:00,1,403595,2,Profile,3,Blacksmith,2,White,69,20,5,794.35,2752.32,7261.22,2023-12-15 20:30:41,
19,2021-05-20 00:00:00,37901.2,4,2023-02-04 00:00:00,1,403595,2,Profile,3,Blacksmith,2,White,69,20,5,794.35,2752.32,7261.22,2023-12-15 20:30:41,
19,2021-05-20 00:00:00,37901.2,4,2023-02-04 00:00:00,1,403595,2,Profile,3,Blacksmith,2,White,69,20,5,794.35,2752.32,7261.22,2023-12-15 20:30:41,
19,2021-05-20 00:00:00,37901.2,2,2023-03-02 00:00:00,6,407306,2,Profile,3,Blacksmith,2,White,201,20,2023-05-02 00:00:00,62029606205251,4320,7261.22,2023-12-15 20:30:41,
19,2021-05-20 00:00:00,37901.2,2,2023-03-02 00:00:00,6,407306,2,Profile,3,Blacksmith,2,White,201,20,2023-05-02 00:00:00,62029606205251,4320,7261.22,2023-12-15 20:30:41,
19,2021-05-20 00:00:00,37901.2,2,2023-03-02 00:00:00,6,407306,2,Profile,3,Blacksmith,2,White,201,20,2023-05-02 00:00:00,62029606205251,4320,7261.22,2023-12-15 20:30:41,
19,2021-05-20 00:00:00,37901.2,1,2023-05-06 00:00:00,291,3005/44,2,Profile,3,Blacksmith,2,White,85,0,5,458.71,4320,7261.22,2023-12-15 17:55:59,
19,2021-05-20 00:00:00,37901.2,1,2023-05-06 00:00:00,291,3005/44,2,Profile,3,Blacksmith,2,White,85,0,5,458.71,4320,7261.22,2023-12-15 17:55:59,
19,2021-05-20 00:00:00,37901.2,1,2023-05-06 00:00:00,291,3005/44,2,Profile,3,Blacksmith,2,White,85,0,5,458.71,4320,7261.22,2023-12-15 17:55:59,
19,2021-05-20 00:00:00,37901.2,2,2023-04-04 00:00:00,292,3005/68,2,Profile,3,Blacksmith,2,White,172,10,2023-05-03 00:00:00,602.56,4320,7261.22,2023-12-15 17:55:58,
19,2021-05-20 00:00:00,37901.2,2,2023-04-04 00:00:00,292,3005/68,2,Profile,3,Blacksmith,2,White,172,10,2023-05-03 00:00:00,602.56,4320,7261.22,2023-12-15 17:55:58,
19,2021-05-20 00:00:00,37901.2,2,2023-04-04 00:00:00,292,3005/68,2,Profile,3,Blacksmith,2,White,172,10,2023-05-03 00:00:00,602.56,4320,7261.22,2023-12-15 17:55:58,
20,2021-05-20 00:00:00,9957.96,2,2023-04-03 00:00:00,23,403746,2,Profile,3,Blacksmith,2,White,107,0,2023-05-03 00:00:00,471.38,2459.52,7261.22,2023-12-15 20:30:41,
20,2021-05-20 00:00:00,9957.96,2,2023-04-03 00:00:00,23,403746,2,Profile,3,Blacksmith,2,White,107,0,2023-05-03 00:00:00,471.38,2459.52,7261.22,2023-12-15 20:30:41,
20,2021-05-20 00:00:00,9957.96,1,5.14,19,3005/37,2,Profile,3,Blacksmith,2,White,0,0,2023-09-06 00:00:00,1,2459.52,7261.22,2023-12-15 12:29:15,
20,2021-05-20 00:00:00,9957.96,1,5.14,19,3005/37,2,Profile,3,Blacksmith,2,White,0,0,2023-09-06 00:00:00,1,2459.52,7261.22,2023-12-15 12:29:15,
21,2021-05-20 00:00:00,62558.34,1,1,24,403776,2,Profile,3,Blacksmith,2,White,737,30,2023-06-01 00:00:00,1015.94,2459.52,7261.22,2023-12-15 20:30:41,
21,2021-05-20 00:00:00,62558.34,1,1,24,403776,2,Profile,3,Blacksmith,2,White,737,30,2023-06-01 00:00:00,1015.94,2459.52,7261.22,2023-12-15 20:30:41,
21,2021-05-20 00:00:00,62558.34,2,2023-05-07 00:00:00,38,3010/00,2,Profile,4,Módena,2,White,131,20,2023-05-07 00:00:00,1065.66,2810.88,7975.72,2023-12-15 12:29:15,
21,2021-05-20 00:00:00,62558.34,2,2023-05-07 00:00:00,38,3010/00,2,Profile,4,Módena,2,White,131,20,2023-05-07 00:00:00,1065.66,2810.88,7975.72,2023-12-15 12:29:15,
21,2021-05-20 00:00:00,62558.34,1,2023-05-07 00:00:00,38,3010/00,2,Profile,4,Módena,2,White,131,20,2023-05-07 00:00:00,1065.66,2810.88,7975.72,2023-12-15 12:29:15,
21,2021-05-20 00:00:00,62558.34,4,3.94,39,405421,2,Profile,4,Módena,2,White,323,20,2023-03-04 00:00:00,1327.63,2810.88,7975.72,2023-12-15 12:29:15,
21,2021-05-20 00:00:00,62558.34,4,3.94,39,405421,2,Profile,4,Módena,2,White,323,20,2023-03-04 00:00:00,1327.63,2810.88,7975.72,2023-12-15 12:29:15,
21,2021-05-20 00:00:00,62558.34,4,3.94,39,405421,2,Profile,4,Módena,2,White,323,20,2023-03-04 00:00:00,1327.63,2810.88,7975.72,2023-12-15 12:29:15,
21,2021-05-20 00:00:00,62558.34,2,4,40,405480,2,Profile,4,Módena,2,White,130,30,4,636.95,2810.88,7975.72,2023-12-15 19:27:13,
21,2021-05-20 00:00:00,62558.34,2,4,40,405480,2,Profile,4,Módena,2,White,130,30,4,636.95,2810.88,7975.72,2023-12-15 19:27:13,
21,2021-05-20 00:00:00,62558.34,2,4,40,405480,2,Profile,4,Módena,2,White,130,30,4,636.95,2810.88,7975.72,2023-12-15 19:27:13,
21,2021-05-20 00:00:00,62558.34,6,2023-08-04 00:00:00,45,3010/16,2,Profile,4,Módena,2,White,262,5,4.78,1281.68,4800,7975.72,2023-12-15 19:15:02,
21,2021-05-20 00:00:00,62558.34,6,2023-08-04 00:00:00,45,3010/16,2,Profile,4,Módena,2,White,262,5,4.78,1281.68,4800,7975.72,2023-12-15 19:15:02,
21,2021-05-20 00:00:00,62558.34,6,2023-08-04 00:00:00,45,3010/16,2,Profile,4,Módena,2,White,262,5,4.78,1281.68,4800,7975.72,2023-12-15 19:15:02,
21,2021-05-20 00:00:00,62558.34,3,2023-03-04 00:00:00,41,405511,2,Profile,4,Módena,2,White,215,20,2023-06-03 00:00:00,756.8,2810.88,7975.72,2023-12-15 19:27:13,
21,2021-05-20 00:00:00,62558.34,3,2023-03-04 00:00:00,41,405511,2,Profile,4,Módena,2,White,215,20,2023-06-03 00:00:00,756.8,2810.88,7975.72,2023-12-15 19:27:13,
21,2021-05-20 00:00:00,62558.34,3,2023-03-04 00:00:00,41,405511,2,Profile,4,Módena,2,White,215,20,2023-06-03 00:00:00,756.8,2810.88,7975.72,2023-12-15 19:27:13,
21,2021-05-20 00:00:00,62558.34,1,2023-05-01 00:00:00,42,405572,2,Profile,4,Módena,2,White,559,30,2023-02-01 00:00:00,762.72,2810.88,7975.72,2023-12-15 20:10:23,
21,2021-05-20 00:00:00,62558.34,1,2023-05-01 00:00:00,42,405572,2,Profile,4,Módena,2,White,559,30,2023-02-01 00:00:00,762.72,2810.88,7975.72,2023-12-15 20:10:23,
21,2021-05-20 00:00:00,62558.34,1,2023-05-01 00:00:00,42,405572,2,Profile,4,Módena,2,White,559,30,2023-02-01 00:00:00,762.72,2810.88,7975.72,2023-12-15 20:10:23,
22,2021-06-09 00:00:00,16152,2,,79,B52,3,Accessories,5,Weatherstripping,1,Not Applicable,46,0,0,0,10000,18600,2023-12-15 15:15:55,
22,2021-06-09 00:00:00,16152,1,,82,B67,3,Accessories,5,Weatherstripping,1,Not Applicable,0,0,0,0,2908.48,20286.52,2023-12-15 12:29:15,
22,2021-06-09 00:00:00,16152,60,0,105,E69,3,Accessories,6,Squares,1,Not Applicable,4423,300,0,0,446,2067,2023-12-15 19:15:02,
22,2021-06-09 00:00:00,16152,1,,514,B67,3,Accessories,5,Weatherstripping,1,Not Applicable,0,0,0,0,5635.18,23380.25,2023-12-15 12:29:15,
23,2021-06-09 00:00:00,4080,40,0,105,E69,3,Accessories,6,Squares,1,Not Applicable,4423,300,0,0,446,2067,2023-12-15 19:15:02,
24,2021-06-09 00:00:00,6350,100,,209,T87,3,Accessories,8,Plastics,1,Not Applicable,198,0,0,0,27,67.32,2023-12-15 12:29:15,
24,2021-06-09 00:00:00,6350,1,,214,T96,3,Accessories,8,Plastics,1,Not Applicable,178,0,0,0,1150,3961.55,2023-12-15 19:15:02,
24,2021-06-09 00:00:00,6350,24,,169,H61 negra,3,Accessories,7,Fittings,1,Not Applicable,353,0,0,0,1013,3618.92,2023-12-15 19:55:27,
25,2021-06-10 00:00:00,672,4,,219,R39SR,3,Accessories,9,Wheels,1,Not Applicable,1092,100,0,0,396,1499.38,2023-12-15 12:29:15,
26,2021-06-10 00:00:00,14641,50,,262,TA77 10x2,3,Accessories,10,Screws,1,Not Applicable,3,300,0,0,29,57.26,2023-12-15 12:29:15,
26,2021-06-10 00:00:00,14641,3,,155,,3,Accessories,7,Fittings,1,Not Applicable,118,50,0,0,250,1087.06,2023-12-15 19:44:18,
26,2021-06-10 00:00:00,14641,5,,183,LZ NEGRO,3,Accessories,7,Fittings,1,Not Applicable,352,0,0,0,206,792,2023-12-15 17:29:12,
26,2021-06-10 00:00:00,14641,2,2023-03-03 00:00:00,292,3005/68,2,Profile,3,Blacksmith,2,White,172,10,2023-05-03 00:00:00,602.56,4320,7261.22,2023-12-15 17:55:58,
26,2021-06-10 00:00:00,14641,1,2023-05-02 00:00:00,11,3005/76,2,Profile,3,Blacksmith,2,White,76,0,2.64,238.93,4320,7261.22,2023-12-15 12:29:15,
26,2021-06-10 00:00:00,14641,1,2023-05-02 00:00:00,4,407278,2,Profile,3,Blacksmith,2,White,476,15,2023-05-02 00:00:00,14890460620525,2869.44,7261.22,2023-12-15 20:30:41,
26,2021-06-10 00:00:00,14641,2,0,159,CP 25,3,Accessories,7,Fittings,2,White,413,50,0,0,4056,7332,2023-12-15 12:29:15,
26,2021-06-10 00:00:00,14641,1,2023-01-03 00:00:00,2,407247,2,Profile,3,Blacksmith,2,White,220,20,2023-06-03 00:00:00,90668832935561,2664.48,7261.22,2023-12-15 20:26:49,
27,2021-06-10 00:00:00,24677.82,4,,171,H50 cuadrado,3,Accessories,7,Fittings,2,White,30,20,0,0,11808,21254,2023-12-15 12:29:15,
27,2021-06-10 00:00:00,24677.82,3,2.21,29,3005/81,2,Profile,3,Blacksmith,2,White,68,10,2,135.6,2459.52,7261.22,2023-12-15 20:13:56,
27,2021-06-10 00:00:00,24677.82,12,,166,FLH1 negro,3,Accessories,7,Fittings,1,Not Applicable,498,100,0,0,469.7,2066.44,2023-12-15 12:29:15,
