product,egg_unit_price,egg_quantity,flour_unit_price,flour_quantity,sugar_unit_price,sugar_quantity,other_ingredients,fixed_cost,total_costs,price,profit_margin,sugar_free
raspberry pie,67,3,519,"0,19",1.175,0,8.649,1.586,10.651,18500,"73,7",0
white brownie,67,3,519,"0,265","863,90","0,20","8.386,85",1586,"10.428,87",18000,"72,6",0
pavlova,67,5,519,,,,"4664,98",1586,"6703,46",11040,"64,7",1
chocolate and raspberry cheesecake,67,6,519,,"1174,8","0,16",10137,1586,"12242,48",19000,"55,2",0
pistachio cheesecake,67,5,519,,"863,9","0,25",9239,1586,"11278,305",18000,"59,6",0
3 mousses,67,11,519,,"863,9","0,3",6891,630,"8375,48",9900,"18,2",0
nut sandwich cookie,67,1,519,"0,11","1174,8","0,0675",1900,796,"2937,57",4000,"36,2",0
pistachio sandwich cookie,67,1,519,"0,1","1174,8","0,0675",2900,1586,"4722,38",5400,"14,3",0
macaroons,67,1,"15034,25","0,05","863,9","0,05",2965,1586,"5487,1925",6000,"9,3",0
cheesecake,67,5,519,,"863,9","0,4",6114,1586,"8152,48",13860,"70,0",0
2 mousses,67,9,519,"0,057","863,9","0,405","9023,78",680,"10453,843",18000,"72,2",0
lime pie,67,8,519,,"1174,8","0,12",6521,1586,"8760,48",15000,"71,2",0
pistachio mass,67,1,519,"0,22","1174,8","0,135",3164,287,"3749,66",5500,"46,7",0
nutella brownie cake,67,3,519,"0,15","863,9","0,34",5942,630,"6967,34",11900,"70,8",0
nut creme caramel and red fruits cake,67,3,"519,2","0,25","1174,8","0,1",4556,630,"5634,28",6350,"12,7",0
apple crumble,67,3,"519,2","0,4",1680,"0,15",4234,630,"5390,16",8000,"48,4",0
strawberries and creme cake,67,9,"519,2","0,25","1174,8","0,1",2350,630,"3830,28",5000,"30,5",0
red velvet cake,67,2,519,"0,31","863,9","0,3",3954,1586,"5952,7",8600,"44,5",0
cookies and caramel cake,67,,519,,,,,315,3147,4000,"27,1",1
marquise cake,67,6,519,,"863,9","0,29",6592,1586,"8697,48",9800,"12,7",0
almonds sabble cake,67,1,519,"0,22","1174,8","0,13",6598,630,"7526,66",8000,"6,3",0
Matilda cake,67,2,519,"0,26","863,9","0,3",11730,1586,"13702,42",23970,"74,9",0
banana cake,67,3,519,"0,25","1174,8","0,1",4760,630,"5838,23",9700,"66,1",0
carrot cake,67,6,519,"0,375",8639,"0,225",4521,640,"5875,105",11100,"88,9",0
orange pudding,67,2,519,"0,3375","863,9","0,225",1422,319,"2167,6425",3400,"56,9",0
caramel cheesecake,67,4,519,,"863,9","0,05",4066,638,"5089,48",8300,"63,1",0
oreo cake,67,,519,,"863,9","0,1",7289,638,"8044,48",15000,"86,5",0
brownies,67,4,519,"0,17","863,9","0,335",3682,793,"4948,71",8300,"67,7",0
nut sandwich cookie x2,67,2,519,"0,22","1174,8","0,13",2861,319,"3545,66",5700,"60,8",0
banana pudding,67,2,519,"0,25","863,9","0,174",2272,793,"3446,23",5000,"45,1",0
black chocolate chips cookie x17,67,1,519,"0,25",1680,"0,28",4119,319,"4752,23",8000,"68,3",0
white chocolate chips cookie x17,67,1,519,"0,2",1680,"0,28",4742,319,"5349,28",9110,"70,3",0
coconut and caramel mini cake x20,67,4,519,"0,3","863,9","0,15",3946,319,"4804,86",8530,"77,5",0
lemonies x12,67,5,519,"0,25","863,9","0,425",2051,319,"2952,23",3600,"21,9",0
cheese scons,67,1,519,"0,3",,,1990,793,"3123,18",3500,"12,1",1
dry fruits panettone,67,13,519,"1,9","863,9","0,7",33539,209,"35722,58",60000,"68,0",0
chocolate chips panettone,67,9,519,"1,9","863,9","0,4",35583,290,"37581,065",70000,"86,3",0
banana easter egg,67,,519,"0,02","863,9","0,006",2467,145,"2739,86",3800,"38,7",0
raspberry easter egg,67,,519,"0,03","863,9","0,03",4878,145,"5156,05",7500,"45,5",0
nutella easter egg,67,,519,,,,2822,145,"3084,48",6000,"94,5",1
mousse bar,67,7,519,,"863,9","0,2",6117,145,"6848,48",8500,"24,1",0
lunettes,67,1,519,"0,3","863,9","0,12",988,365,"1693,18",2500,"47,7",0
caramel Matilda,67,4,519,"0,23",1680,"0,3",11096,630,"12230,85",20000,"63,5",0
red velvet cookie,67,1,519,"0,2",1680,"0,155",2749,315,"3352,28",5000,"49,2",0
cheese bread,67,1,1927,"0,3",,,1674,315,"2751,58",3500,"27,2",1
cookies and caramel easter egg,,,519,,,,1982,330,"2429,48",3500,"44,1",1
red velver easter egg,,,519,,"1174,8","0,01",2568,330,"3015,48",3900,"29,3",0
valentine's easter egg,,,519,,"1174,8","0,01",3579,356,"4052,48",5200,"28,3",0
pavlova bar,67,4,519,,"1174,8","0,12",1680,356,"2421,48",3500,"44,5",0
lime  ,67,8,519,,"1174,8","0,06",3922,817,"5392,48",8500,"57,6",0